product_name,gw_sku,amazon_url
Adrax Agatone,63-01,https://www.amazon.com/Salamanders-Adrax-Agatone-Warhammer-000/dp/B08HR5R3FB/ref=sr_1_1?crid=1P32VQKV20W9U&dib=eyJ2IjoiMSJ9.iuEvjVW33BaC3SS3tHf0YpibaBrHDwuMkZG-FDADKAqX85JciDsZRlaHLyhUShwTuxa5X9elB-JiV50cLJa-14S30Q_hdPRwPN8ei05DSf-Bcx-PlkDIL73MVakhwtyDmy1e3P2IgkC6UsoyDLl4LbsDa4dz1orPDSjThsy1xo1R7xtNoLeoodFLV4dPQYc5f__rNI7Rip6F3foZ3lwg5mM1iHWEoOQqYcIXdFNTWu9Q6wZAbYIeGl509ucbRl-Pco1cLyNY8y-dfM7aXagskLGkXDqAFIVVpnjOu0gTYnY.Lsr14KHOwSyWb3Tkr6BK63KFksmEIL9y8ll8nES-RSU&dib_tag=se&keywords=adrax+agatone+40k&qid=1777814232&sprefix=adrax+%2Caps%2C197&sr=8-1
Aeldari Guardians,46-09,https://www.amazon.com/Games-Workshop-46-09-Warhammer-40k/dp/B09TG2LS1N/ref=sr_1_1?crid=VTKOTD8W2DRH&dib=eyJ2IjoiMSJ9.m0c48SDfP0kARUBmwGY1JVfQJ7hpvrm77y_Wl8zWwcCjO6P5V4mSqG00u1qeyW9fPgiFjc3ebco5c0vpjQaC2uXhru1upXiHxYe4uK286cA.ZidVljGTK7VN_Fb6myFUNumPu6p9fiyQ1T_S_InXrZk&dib_tag=se&keywords=aeldari+guardians&qid=1777818825&sprefix=aeldair+guard%2Caps%2C185&sr=8-1
Aethon Shaan,62-01,
Ancient in Terminator Armour,48-99,https://www.amazon.com/Games-Workshop-Warhammer-Ma ... =Deathwatch+Terminator+Squad&qid=1773338159&sr=8-7
Annihilation Barge,prod4390158,https://www.amazon.com/Warhammer-Necrons-Catacomb-Command-Barge/dp/B08HSTJXW3/ref=sr_1_1_mod_primary_new?crid=QDXJ0C7I9GQ8&dib=eyJ2IjoiMSJ9.GdCbK6l-zP8n62XPaniUDtJctfT6LYgaDv6JxNudYLc.qLk0ye6nQDuQBUey0u4BaujApYoV-x-gjkLmMvrAm9k&dib_tag=se&keywords=Annihilation+Barge&qid=1777818967&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=annihilation+barge%2Caps%2C211&sr=8-1
Arjac Rockfist,53-21,https://www.amazon.com/Games-Workshop-Warhammer-Wolves-Rockfist/dp/B0FF4WDW37/ref=sr_1_1?crid=UXABTRKTWBCK&dib=eyJ2IjoiMSJ9.Zw2QKZF8VeJXJhzSAs60GgF6itoCr2k7PLnpNDBPAvox3a3WiMftxhXSOp82XbYxDS0UbxsmMxaiTGdZN0JnlMAd-YeswoCMxRWY3tRdW_4.9npA9Tbb3qvmkvnkLLQMtJ53Rs8yFAcCcksyNOfkSJg&dib_tag=se&keywords=Arjac+Rockfist&qid=1777819030&sprefix=arjac+rockfist%2Caps%2C288&sr=8-1
Arkanyst Evaluator,P-222999-99120118025,https://www.amazon.com/Leagues-Of-Votann-Arkanyst-Evaluator/dp/B0FL3MVTG8/ref=sr_1_1?crid=2GQ0U1FR29ND8&dib=eyJ2IjoiMSJ9.ysbcz3XTf9kx99Y628EppQ.nLN3VMSpmE0sM1KmoXwmtb4Ra2m1wEJ54bCQ0ZeWwnQ&dib_tag=se&keywords=Arkanyst+Evaluator&qid=1777819054&sprefix=arkanyst+evaluator%2Caps%2C251&sr=8-1
Assault Intercessors with Jump Packs,48-100,https://www.amazon.com/Games-Workshop-Warhammer-Intercessors-PlayStation-5/dp/B0CJS353L5/ref=sr_1_1?crid=3AS52GX7TSMN&dib=eyJ2IjoiMSJ9.JPlXbL8iHWNa4JiQ7USsLgYAIw2JcI1EKcIq5LfAJXoa7-1bm4Ykfe1A2qDFlTgl.-TuVU9tgeN1H5d7GgY2Xnr8rTfHx4JD597yg16dS4M8&dib_tag=se&keywords=Assault+Intercessors+with+Jump+Packs&qid=1777819077&sprefix=assault+intercessors+with+jump+packs%2Caps%2C275&sr=8-1
Astra Militarum Basilisk,47-17,
Asurmen,P-203616,https://www.amazon.com/Warhammer-40-000-Aeldari-Asurmen/dp/B0DV3YNRHV/ref=sr_1_1?crid=1AEIKAMWH9Z0S&dib=eyJ2IjoiMSJ9.My30HwLPVhE5abBD3x_uKaOjowciQq53QcxP1PzcYEGKPsguQkB23GxI8XDJUiKcDpGDE_j0QC8T5l4T8psOOA.dC9U82GlBSFUYmtFMHaDsUJxUPVlooP8LAKfSQ2o-pg&dib_tag=se&keywords=asurmen&qid=1777819147&sprefix=asurmen%2Caps%2C243&sr=8-1
Autarch,prod4900146,https://www.amazon.com/Games-Workshop-Warhammer-Aeldari-Autarch/dp/B09W2RYZ53/ref=sr_1_1?crid=3ANQUC68FZFJR&dib=eyJ2IjoiMSJ9.rhC72qaBK4Ve5DcJIqk7ZyZQso4S4ggalrdk0jyw7GM3hxXfhR5zwZIcZpd5fZzCFZJKBdSyUoH38uoxT6rQJIlvuKQucTdK_ARIQ3fkMGNtRIynV6h6nGox4k0Z55wDEHUyYUW_5TuE326iHwsItSsm0L888col7xTTsclAQ6LTuJ9kEW2Ol_PTONBehwkimDQ0xhRqshIXU2pMyHc_lcoKTcOmcL3WUlBqis43f7vo7KIptkgpVEJ5e4aN57SID5YzqFsjMwke0OYHi0fe8mtXiZBI3x9RELImKdeqr5k.h8pdy-Arm5KRJ2p4BonD3HOdi67RqVJaLbnq8gT2q-g&dib_tag=se&keywords=autarch&qid=1777819165&sprefix=autarch%2Caps%2C232&sr=8-1
Autarch Wayleaper,prod2810200,https://www.amazon.com/Games-Workshop-Warhammer-Aeldari-Autarch/dp/B09W2RYZ53/ref=sr_1_1?crid=3ANQUC68FZFJR&dib=eyJ2IjoiMSJ9.rhC72qaBK4Ve5DcJIqk7ZyZQso4S4ggalrdk0jyw7GM3hxXfhR5zwZIcZpd5fZzCFZJKBdSyUoH38uoxT6rQJIlvuKQucTdK_ARIQ3fkMGNtRIynV6h6nGox4k0Z55wDEHUyYUW_5TuE326iHwsItSsm0L888col7xTTsclAQ6LTuJ9kEW2Ol_PTONBehwkimDQ0xhRqshIXU2pMyHc_lcoKTcOmcL3WUlBqis43f7vo7KIptkgpVEJ5e4aN57SID5YzqFsjMwke0OYHi0fe8mtXiZBI3x9RELImKdeqr5k.h8pdy-Arm5KRJ2p4BonD3HOdi67RqVJaLbnq8gT2q-g&dib_tag=se&keywords=autarch&qid=1777819165&sprefix=autarch%2Caps%2C232&sr=8-2
