gw_sku,name,mm_url,mm_price
80-01,Age of Sigmar Core Rules,,
97-08,Blades of Khorne Bloodletters,https://www.miniaturemarket.com/gw-97-08.html,35.99
83-30,Blades of Khorne Bloodreavers,,
85-02,Daughters of Khaine Morathi-Khaine,https://www.miniaturemarket.com/gw-85-18.html,142.99
85-17,Daughters of Khaine Sisters of Slaughter,,
85-06,Daughters of Khaine Witch Aelves,https://www.miniaturemarket.com/gw-85-10.html,53.99
97-11,Disciples of Tzeentch Pink Horrors,https://www.miniaturemarket.com/gw-97-12.html,38.99
83-40,Disciples of Tzeentch Tzaangors,,
91-35,Flesh-Eater Courts Crypt Ghouls,,
91-07,Flesh-Eater Courts Crypt Horrors,https://www.miniaturemarket.com/gw-91-13.html,51
91-32,Flesh-Eater Courts Terrorgheist,,
89-06,Gloomspite Gitz Fanatics,,
89-10,Gloomspite Gitz Squig Herd,https://www.miniaturemarket.com/gw-89-48.html,49.99
89-11,Gloomspite Gitz Squig Hoppers,https://www.miniaturemarket.com/gw-89-44.html,51
83-20,Maggotkin of Nurgle Plaguebearers,https://www.miniaturemarket.com/gw-97-10.html,35.99
83-22,Maggotkin of Nurgle Putrid Blightkings,https://www.miniaturemarket.com/Warhammer-Age-of-Sigmar-Maggotkin-of-Nurgle-Putrid-Blightkings/GW-83-28-2026,55.99
91-14,Nighthaunt Bladegheist Revenants,https://www.miniaturemarket.com/gw-91-27.html,49.99
91-28,Nighthaunt Chainrasps,https://www.miniaturemarket.com/gw-71-14.html,38.99
91-12,Nighthaunt Grimghast Reapers,https://www.miniaturemarket.com/gw-91-26.html,49.99
91-06,Nighthaunt Hexwraiths,,
91-15,Nighthaunt Knight of Shrouds,,
91-02,Nighthaunt Lady Olynder,https://www.miniaturemarket.com/gw-91-25.html,49.99
70-10,Nighthaunt Spearhead,https://www.miniaturemarket.com/warhammer-age-sigmar-spearhead-nighthaunt-cursed-shacklehorde-gw-70-914.html,123.99
89-30,Orruk Warclans Ardboys,https://www.miniaturemarket.com/warhammer-age-sigmar-orruk-warclans-orruk-ardboyz-gw-89-61.html,53.99
89-22,Orruk Warclans Gutrippaz,https://www.miniaturemarket.com/gw-89-70.html,51
89-20,Orruk Warclans Ironjawz Brutes,https://www.miniaturemarket.com/gw-89-29.html,53.99
94-14,Ossiarch Bonereapers Gothizzar Harvester,,
94-10,Ossiarch Bonereapers Mortek Guard,https://www.miniaturemarket.com/gw-94-25.html,53.99
94-12,Ossiarch Bonereapers Necropolis Stalkers,https://www.miniaturemarket.com/gw-94-23.html,51
90-10,Skaven Clanrats,,
83-18,Slaves to Darkness Chaos Warriors,https://www.miniaturemarket.com/warhammer-age-of-sigmar-slaves-to-darkness-chaos-warriors-gw-83-06-2023.html,53.99
83-14,Slaves to Darkness Varanguard,https://www.miniaturemarket.com/gw-83-51.html,93.99
70-17,Spearhead: Blades of Khorne,https://www.miniaturemarket.com/warhammer-age-of-sigmar-spearhead-blades-of-khorne-gw-70-833.html,123.99
70-11,Spearhead: Lumineth Realm-lords,https://www.miniaturemarket.com/gw-70-872.html,123.99
70-892,Spearhead: Orruk Warclans,https://www.miniaturemarket.com/warhammer-age-sigmar-spearhead-orruk-warclans-ironjawz-bigmob-gw-70-893.html,123.99
70-09,Spearhead: Ossiarch Bonereapers,https://www.miniaturemarket.com/warhammer-age-of-sigmar-spearhead-ossiarch-bonereapers-gw-70-941.html,123.99
70-901,Spearhead: Skaven,,
70-04,Spearhead: Slaves to Darkness,https://www.miniaturemarket.com/warhammer-age-sigmar-spearhead-slaves-to-darkness-darkoath-raiders-gw-70-836.html,123.99
70-21,Spearhead: Stormcast Eternals,,
96-11,Stormcast Eternals Liberators,,0
96-14,Stormcast Eternals Lord-Celestant,https://www.miniaturemarket.com/warhammer-age-sigmar-stormcast-eternals-lord-celestant-gw-96-68.html,38.99
96-55,Stormcast Eternals Praetors,,
96-50,Stormcast Eternals Vindictors,https://www.miniaturemarket.com/gw-96-57.html,51
HA-002,Contemptor Dreadnought,https://www.miniaturemarket.com/gw-31-25.html,53.99
HA-030,Horus Heresy Cataphractii Terminators,https://www.miniaturemarket.com/gw-31-26.html,78.99
HA-021,Horus Heresy Leviathan Dreadnought,https://www.miniaturemarket.com/gw-31-29.html,71.99
HA-010,Horus Heresy MKIII Tactical Squad,https://www.miniaturemarket.com/warhammer-horus-heresy-legiones-astartes-mkiii-tactical-squad-gw-31-68.html,67.99
HA-041,Horus Heresy Sicaran Battle Tank,https://www.miniaturemarket.com/gw-31-27.html,71.99
HA-040,Horus Heresy Spartan Assault Tank,https://www.miniaturemarket.com/gw-31-35.html,100.99
HA-012,Legiones Astartes Predator,https://www.miniaturemarket.com/gw-31-14.html,62.99
HA-001,MKVI Tactical Squad,https://www.miniaturemarket.com/gw-31-23.html,71.99
HA-020,Solar Auxilia Lasrifle Section,https://www.miniaturemarket.com/warhammer-horus-heresy-solar-auxilia-lasrifle-section-gw-31-73.html,67.99
KT-003,Kill Team: Starter Set,https://www.miniaturemarket.com/kill-team-starter-set-gw-103-54.html,95.99
AP-001,Citadel Air Paint,,
BP-001,Citadel Base Paint,,
BR-001,Citadel Brush: Medium Base,,
BR-002,Citadel Brush: Medium Layer,,
BS-001,Citadel Colour Base Paint Set,,
CP-003,Citadel Contrast Blood Angels Red,,
CP-001,Citadel Contrast Paint,,
LP-001,Citadel Layer Paint,,
MR-001,Citadel Mouldline Remover,,
SP-020,Citadel Munitorum Varnish,,
PH-001,Citadel Painting Handle,,
PH-002,Citadel Painting Handle XL,,
PG-001,Citadel Plastic Glue,,
SP-002,Citadel Shade Agrax Earthshade,,
SP-001,Citadel Shade (Nuln Oil),,
SP-003,Citadel Shade Reikland Fleshshade,,
SP-010,Citadel Spray: Chaos Black,,
SP-012,Citadel Spray: Grey Seer,,
SP-011,Citadel Spray: Wraithbone,,
CSP-004,Citadel Spray Zandri Dust,,
TCP-001,Citadel Technical Paint,,
52-25,Adepta Sororitas Combat Patrol,,
52-02,Adepta Sororitas Morvenn Vahl,https://www.miniaturemarket.com/gw-52-37.html,53.99
59-20,Adeptus Mechanicus Electropriests,https://www.miniaturemarket.com/gw-59-15.html,49.99
59-14,Adeptus Mechanicus Ironstrider Ballistarii,https://www.miniaturemarket.com/gw-59-12.html,53.99
59-18,Adeptus Mechanicus Kataphron Destroyers,https://www.miniaturemarket.com/gw-59-14.html,53.99
63-01,Adrax Agatone,,
46-06,Aeldari Dire Avengers,https://www.miniaturemarket.com/gw-46-15.html,38.99
46-02,Aeldari Farseer,,
P-222999-99120118025,Arkanyst Evaluator,,
47-17,Astra Militarum Basilisk,,
47-14,Astra Militarum Hellhound,,
P-203616,Asurmen,https://www.miniaturemarket.com/warhammer-40k-aeldari-asurmen-gw-46-50.html,38.99
prod4900146,Autarch,https://www.miniaturemarket.com/gw-46-30.html,35.99
prod2810200,Autarch Wayleaper,https://www.miniaturemarket.com/gw-46-30.html,35.99
prod4900143,Avatar of Khaine,https://www.miniaturemarket.com/gw-46-62.html,95.99
P-203620,Baharroth,https://www.miniaturemarket.com/warhammer-40k-aeldari-baharroth-gw-46-52.html,38.99
50-24,Beastboss on Squigosaur,https://www.miniaturemarket.com/gw-50-55.html,51
50-25,Big'ed Bossbunka,,
50-27,Big Mek in Mega Armour,https://www.miniaturemarket.com/warhammer-40k-orks-big-mek-gw-50-68.html,44.99
55-24,Black Templars Chaplain Grimaldus,https://www.miniaturemarket.com/gw-55-44.html,49.99
41-10,Blood Angels Baal Predator,,
