card_name,db_name,gw_sku,faction,include
Dire Avengers,Aeldari Dire Avengers,SKU: 46-06,Aeldari,Yes
Farseer,Aeldari Farseer,SKU: 46-02,Aeldari,Yes
Fire Dragons,Aeldari Fire Dragons,SKU: 46-14,Aeldari,Yes
Storm Guardians,Aeldari Guardians,SKU: 46-09,Aeldari,Yes
Falcon,Aeldari Wave Serpent,SKU: 46-29,Aeldari,Yes
Wave Serpent,Aeldari Wave Serpent,SKU: 46-29,Aeldari,Yes
Asurmen,Asurmen,SKU: P-203616,Aeldari,Yes
Autarch,Autarch,SKU: prod4900146,Aeldari,Yes
Autarch Wayleaper,Autarch Wayleaper,SKU: prod2810200,Aeldari,Yes
Avatar of Khaine,Avatar of Khaine,SKU: prod4900143,Aeldari,Yes
Baharroth,Baharroth,SKU: P-203620,Aeldari,Yes
Corsair Skyreavers,Corsair Skyreavers,SKU: P-240922,Aeldari,Yes
Corsair Voidreavers,Corsair Voidreavers,SKU: P-240923,Aeldari,Yes
Corsair Voidscarred,Corsair Voidreavers,SKU: P-240923,Aeldari,Yes
Crimson Hunter,Crimson Hunter,SKU: prod3600196,Aeldari,Yes
Dark Reapers,Dark Reapers,SKU: prod4870189,Aeldari,Yes
Death Jester,Death Jester,SKU: prod2620120,Aeldari,Yes
Eldrad Ulthran,Eldrad Ulthran,SKU: prod3650164,Aeldari,Yes
Farseer Skyrunner,Farseer Skyrunner,SKU: prod3650295,Aeldari,Yes
Fire Prism,Fire Prism,SKU: prod770019a,Aeldari,Yes
Fuegan,Fuegan,SKU: P-203621,Aeldari,Yes
Guardian Defenders,Guardian Defenders,SKU: prod4870188,Aeldari,Yes
Troupe,Harlequin Troupe,SKU: prod3530579,Aeldari,Yes
Hemlock Wraithfighter,Hemlock Wraithfighter,SKU: prod3600197,Aeldari,Yes
Howling Banshees,Howling Banshees,SKU: prod4390157,Aeldari,Yes
Jain Zar,Jain Zar,SKU: prod4390156,Aeldari,Yes
Kharseth,Kharseth,SKU: P-240921,Aeldari,Yes
Lhykhis,Lhykhis,SKU: P-203618,Aeldari,Yes
Maugan Ra,Maugan Ra,SKU: prod4870190,Aeldari,Yes
Night Spinner,Night Spinner,SKU: prod2180123,Aeldari,Yes
Prince Yriel,Prince Yriel,SKU: P-240880,Aeldari,Yes
Rangers,Rangers,SKU: prod4900144,Aeldari,Yes
Shadowseer,Shadowseer,SKU: prod2620121,Aeldari,Yes
Shining Spears,Shining Spears,SKU: prod4900142,Aeldari,Yes
Shroud Runners,Shroud Runners,SKU: prod4900145,Aeldari,Yes
Skyweavers,Skyweavers,SKU: prod2620124,Aeldari,Yes
Solitaire,Solitaire,SKU: prod2620122,Aeldari,Yes
Spiritseer,Spiritseer,SKU: prod4240206,Aeldari,Yes
Starfangs,Starfang,SKU: P-240924,Aeldari,Yes
Starweaver,Starweaver,SKU: prod2600170,Aeldari,Yes
D-Cannon Platform,Support Weapon,SKU: prod770020a,Aeldari,Yes
Shadow Weaver Platform,Support Weapon,SKU: prod770020a,Aeldari,Yes
Vibro Cannon Platform,Support Weapon,SKU: prod770020a,Aeldari,Yes
Swooping Hawks,Swooping Hawks,SKU: P-203614,Aeldari,Yes
The Visarch,The Visarch,SKU: prod4870186,Aeldari,Yes
The Yncarne,The Yncarne,SKU: prod4870191,Aeldari,Yes
Voidweaver,Voidweaver,SKU: prod2780228,Aeldari,Yes
Vypers,Vyper,SKU: P-240924,Aeldari,Yes
War Walkers,War Walkers,SKU: P-203606,Aeldari,Yes
Warlock Skyrunners,Warlock Skyrunner,SKU: prod3660120,Aeldari,Yes
Warlock,Warlocks,SKU: prod4870187,Aeldari,Yes
Warlock Conclave,Warlocks,SKU: prod4870187,Aeldari,Yes
Warp Spiders,Warp Spiders,SKU: P-203611,Aeldari,Yes
Windriders,Windriders,SKU: prod3660121,Aeldari,Yes
Wraithblades,Wraithblades,SKU: prod3590139,Aeldari,Yes
Wraithguard,Wraithguard,SKU: prod3590128,Aeldari,Yes
Wraithknight,Wraithknight,SKU: prod3580144,Aeldari,Yes
Wraithknight with Ghostglaive,Wraithknight,SKU: prod3580145,Aeldari,Yes
Wraithlord,Wraithlord,SKU: prod3530578,Aeldari,Yes
Yvraine,Yvraine,SKU: prod4870185,Aeldari,Yes
Phantom Titan,,,Aeldari,
Revenant Titan,,,Aeldari,
Striking Scorpions,,,Aeldari,
Troupe Master,,,Aeldari,
Ynnari Archon,,,Aeldari,
Ynnari Succubus,,,Aeldari,
Ynnari Incubi,,,Aeldari,
Ynnari Reavers,,,Aeldari,
Ynnari Raider,,,Aeldari,
Ynnari Venom,,,Aeldari,
