card_name,db_name,gw_sku,faction,include
Ancient in Terminator Armor,Ancient in Terminator Armour,SKU: 48-99,Black Templar,Yes
Assault Intercessors with Jump Packs,Assault Intercessors with Jump Packs,SKU: 48-100,Black Templar,Yes
Castellan,Black Templars Castellan,SKU: 55-25,Black Templar,
Chaplain Grimaldus,Black Templars Chaplain Grimaldus,SKU: 55-24,Black Templar,
Crusade Ancient,Black Templars Crusade Ancient,SKU: 55-27,Black Templar,Yes
Emperor's Champion,Black Templars Emperor's Champion,SKU: 55-22,Black Templar,Yes
Execrator,Black Templars Execrator,SKU: 55-26,Black Templar,Yes
High Marshal Helbrecht,Black Templars Helbrecht,SKU: 55-21,Black Templar,Yes
Marshal,Black Templars Marshal,SKU: 55-28,Black Templar,Yes
Crusader Squad,Black Templars Primaris Crusader Squad,SKU: 55-20,Black Templar,Yes
Sword Brethren Squad,Black Templars Sword Brethren,SKU: 55-23,Black Templar,
Chaplain with Jump Pack,Blood Angels Chaplain With Jump Pack,SKU: 41-27,Black Templar,Yes
Captain in Gravis Armour,Captain in Gravis Armour,SKU: 48-101,Black Templar,Yes
Captain in Phobos Armour,Captain in Phobos Armour,SKU: 48-102,Black Templar,Yes
Captain in Terminator Armour,Captain in Terminator Armour,SKU: 48-103,Black Templar,Yes
Captain with Jump Pack,Captain with Jump Pack,SKU: 48-105,Black Templar,Yes
Captain,Captain with Relic Shield,SKU: 48-106,Black Templar,Yes
Centurion Assault Squad,Centurion Assault Squad,SKU: 48-107,Black Templar,Yes
Centurion Devastator Squad,Centurion Devastator Squad,SKU: 48-108,Black Templar,Yes
Chaplain on Bike,Chaplain on Bike,SKU: 48-109,Black Templar,Yes
Desolation Squad,Desolation Squad,SKU: 48-111,Black Templar,Yes
Drop Pod,Drop Pods,SKU: 48-112,Black Templar,Yes
Gladiator Lancer,Gladiator Lancer,SKU: 48-113,Black Templar,Yes
Gladiator Reaper,Gladiator Reaper,SKU: 48-114,Black Templar,Yes
Gladiator Valiant,Gladiator Valiant,SKU: 48-115,Black Templar,Yes
Heavy Intercessor Squad,Heavy Intercessor Squad,SKU: 48-116,Black Templar,Yes
