card_name,db_name,gw_sku,faction,include
Ancient in Terminator Armor,Ancient in Terminator Armour,SKU: 48-99,Blood Angels,Yes
Assault Intercessors with Jump Packs,Assault Intercessors with Jump Packs,SKU: 48-100,Blood Angels,Yes
Astorath,Blood Angels Astorath,SKU: 41-03,Blood Angels,Yes
Baal Predator,Blood Angels Baal Predator,SKU: 41-10,Blood Angels,Yes
Blood Angels Captain,Blood Angels Captain,SKU: 41-26,Blood Angels,Yes
Chaplain with Jump Pack,Blood Angels Chaplain With Jump Pack,SKU: 41-27,Blood Angels,Yes
Commander Dante,Blood Angels Commander Dante,SKU: 41-04,Blood Angels,Yes
Lemartes,Blood Angels Lemartes,SKU: 41-05,Blood Angels,Yes
Librarian in Terminator Armour,Blood Angels Librarian in Terminator Armour,SKU: 41-28,Blood Angels,Yes
Chief Librarian Mephiston,Blood Angels Mephiston,SKU: 41-02,Blood Angels,Yes
Sanguinary Guard,Blood Angels Sanguinary Guard,SKU: 41-06,Blood Angels,Yes
Sanguinary Priest,Blood Angels Sanguinary Priest,SKU: 41-09,Blood Angels,Yes
The Sanguinor,Blood Angels The Sanguinor,SKU: 41-08,Blood Angels,Yes
Captain in Gravis Armour,Captain in Gravis Armour,SKU: 48-101,Blood Angels,Yes
Captain in Phobos Armour,Captain in Phobos Armour,SKU: 48-102,Blood Angels,Yes
Captain in Terminator Armour,Captain in Terminator Armour,SKU: 48-103,Blood Angels,Yes
Captain with Jump Pack,Captain with Jump Pack,SKU: 48-105,Blood Angels,Yes
Captain,Captain with Relic Shield,SKU: 48-106,Blood Angels,Yes
Centurion Assault Squad,Centurion Assault Squad,SKU: 48-107,Blood Angels,Yes
Centurion Devastator Squad,Centurion Devastator Squad,SKU: 48-108,Blood Angels,Yes
Chaplain on Bike,Chaplain on Bike,SKU: 48-109,Blood Angels,Yes
Desolation Squad,Desolation Squad,SKU: 48-111,Blood Angels,Yes
Drop Pod,Drop Pods,SKU: 48-112,Blood Angels,Yes
Gladiator Lancer,Gladiator Lancer,SKU: 48-113,Blood Angels,Yes
Gladiator Reaper,Gladiator Reaper,SKU: 48-114,Blood Angels,Yes
Gladiator Valiant,Gladiator Valiant,SKU: 48-115,Blood Angels,Yes
Heavy Intercessor Squad,Heavy Intercessor Squad,SKU: 48-116,Blood Angels,Yes
Hellblaster Squad,Hellblaster Squad,SKU: 48-117,Blood Angels,Yes
Invictor Tactical Warsuit,Invictor Tactical Warsuit,SKU: 48-118,Blood Angels,Yes
Land Raider Redeemer,Land Raider Redeemer,SKU: 48-119,Blood Angels,Yes
Lieutenant in Reiver Armour,Lieutenant in Reiver Armour,SKU: 48-121,Blood Angels,Yes
Librarian in Phobos Armour,Primaris Librarian in Phobos Armour,SKU: 48-125,Blood Angels,Yes
Razorback,Razorback,SKU: 48-126,Blood Angels,Yes
Reiver Squad,Reiver Squad,SKU: 48-127,Blood Angels,Yes
Rhino,Rhino,SKU: 48-128,Blood Angels,Yes
Aggressor Squad,Space Marine Aggressors,SKU: 48-92,Blood Angels,Yes
Ancient,Space Marine Ancient,SKU: 48-34,Blood Angels,Yes
Apothecary,Space Marine Apothecary,SKU: 48-33,Blood Angels,Yes
Assault Intercessor Squad,Space Marine Assault Intercessors,SKU: 48-76,Blood Angels,Yes
Ballistus Dreadnought,Space Marine Ballistus Dreadnought,SKU: 48-46,Blood Angels,Yes
Bladeguard Veteran Squad,Space Marine Bladeguard Veterans,SKU: 48-38,Blood Angels,Yes
Brutalis Dreadnought,Space Marine Brutalis Dreadnought,SKU: 48-44,Blood Angels,Yes
Chaplain,Space Marine Chaplain,SKU: 48-32,Blood Angels,Yes
Chaplain in Terminator Armour,Space Marine Chaplain in Terminator Armour,SKU: HA-051,Blood Angels,Yes
Company Heroes,Space Marine Company Heroes,SKU: 48-37,Blood Angels,Yes
Devastator Squad,Space Marine Devastator Squad,SKU: 48-15,Blood Angels,Yes
Eradicator Squad,Space Marine Eradicators,SKU: 48-39,Blood Angels,Yes
Firestrike Servo-Turrets,Space Marine Firestrike Servo-Turrets,SKU: 48-28,Blood Angels,Yes
Hammerfall Bunker,Space Marine Hammerfall Bunker,SKU: 48-27,Blood Angels,Yes
Impulsor,Space Marine Impulsor,SKU: 48-94,Blood Angels,Yes
Inceptor Squad,Space Marine Inceptors,SKU: 48-97,Blood Angels,Yes
Incursor Squad,Space Marine Incursors,SKU: 48-96,Blood Angels,Yes
Infernus Squad,Space Marine Infernus Squad,SKU: 48-45,Blood Angels,Yes
Infiltrator Squad,Space Marine Infiltrators,SKU: 48-41,Blood Angels,Yes
Intercessor Squad,Space Marine Intercessors,SKU: 48-75,Blood Angels,Yes
Invader ATV,Space Marine Invader ATV,SKU: 48-42,Blood Angels,Yes
Land Raider,Space Marine Land Raider Crusader,SKU: 48-22,Blood Angels,Yes
Land Raider Crusader,Space Marine Land Raider Crusader,SKU: 48-22,Blood Angels,Yes
Librarian,Space Marine Librarian,SKU: 48-30,Blood Angels,Yes
Outrider Squad,Space Marine Outriders,SKU: 48-40,Blood Angels,Yes
Predator Annihilator,Space Marine Predator,SKU: 48-23,Blood Angels,Yes
Predator Destructor,Space Marine Predator,SKU: 48-23,Blood Angels,Yes
Eliminator Squad,Space Marine Primaris Eliminators,SKU: 48-98,Blood Angels,Yes
Lieutenant,Space Marine Primaris Lieutenant,SKU: 48-61,Blood Angels,Yes
Redemptor Dreadnought,Space Marine Redemptor Dreadnought,SKU: 48-93,Blood Angels,Yes
Repulsor,Space Marine Repulsor Executioner,SKU: 48-95,Blood Angels,Yes
Repulsor Executioner,Space Marine Repulsor Executioner,SKU: 48-95,Blood Angels,Yes
Scout Squad,Space Marine Scouts,SKU: 48-29,Blood Angels,Yes
Sternguard Veteran Squad,Space Marine Sternguard Veteran Squad,SKU: 48-43,Blood Angels,Yes
Tactical Squad,Space Marine Tactical Squad,SKU: 48-07,Blood Angels,Yes
Terminator Squad,Space Marine Terminator Squad,SKU: 48-06,Blood Angels,Yes
Vanguard Veteran Squad with Jump Packs,Space Marine Vanguard Veteran Squad,SKU: 48-08,Blood Angels,Yes
Vindicator,Space Marine Vindicator,SKU: 48-26,Blood Angels,Yes
Whirlwind,Space Marine Whirlwind,SKU: 48-25,Blood Angels,Yes
Storm Speeder Hailstrike,Storm Speeder Hailstrike,SKU: 48-131,Blood Angels,Yes
Storm Speeder Hammerstrike,Storm Speeder Hammerstrike,SKU: 48-132,Blood Angels,Yes
Storm Speeder Thunderstrike,Storm Speeder Thunderstrike,SKU: 48-133,Blood Angels,Yes
Stormhawk Interceptor,Stormhawk Interceptor,SKU: 48-129,Blood Angels,Yes
Stormraven Gunship,Stormraven Gunship,SKU: 48-130,Blood Angels,Yes
Stormtalon Gunship,Stormtalon Gunship,SKU: 48-134,Blood Angels,Yes
Techmarine,Techmarine,SKU: 48-135,Blood Angels,Yes
Terminator Assault Squad,Terminator Assault Squad,SKU: 48-136,Blood Angels,Yes
Dreadnought,Venerable Dreadnought,SKU: 48-137,Blood Angels,Yes
Apothecary Biologis,,,Blood Angels,
Astraeus,,,Blood Angels,
Bladeguard Ancient,,,Blood Angels,
Death Company Captain,,,Blood Angels,
Death Company Captain with Jump Pack,,,Blood Angels,
Death Company Dreadnought,,,Blood Angels,
Death Company Marines,,,Blood Angels,
Death Company Marines with Bolt Rifles,,,Blood Angels,
Death Company Marines with Jump Packs,,,Blood Angels,
Judiciar,,,Blood Angels,
Lieutenant in Phobos Armour,,,Blood Angels,
Lieutenant with Combi-weapon,,,Blood Angels,
Suppressor Squad,,,Blood Angels,
Thunderhawk Gunship,,,Blood Angels,
