card_name,db_name,gw_sku,faction,include
Defiler,Chaos Defiler,SKU: P-CSM-DEFILER-2026,Chaos Space Marine,Yes
Helbrute,Chaos Helbrute,SKU: prod2430129-99120102043,Chaos Space Marine,Yes
Chaos Land Raider,Chaos Land Raider,SKU: 99120102052,Chaos Space Marine,Yes
Chaos Predator Annihilator,Chaos Predator,SKU: 43-09,Chaos Space Marine,Yes
Chaos Predator Destructor,Chaos Predator,SKU: 43-09,Chaos Space Marine,Yes
Chaos Rhino,Chaos Rhino,SKU: 99120102092,Chaos Space Marine,Yes
Sorcerer in Terminator Armour,Chaos Sorcerer Lord in Terminator Armour,SKU: P-CSM-SORC-TERM,Chaos Space Marine,Yes
Legionaries,Chaos Space Marines Legionaries,SKU: 43-06,Chaos Space Marine,Yes
Sorcerer,Chaos Space Marines Sorcerer,SKU: 99070102015,Chaos Space Marine,Yes
Chaos Spawn,Chaos Spawn,SKU: 99120201050,Chaos Space Marine,Yes
Chaos Terminator Squad,Chaos Terminator Squad,SKU: 99120102097,Chaos Space Marine,Yes
Chaos Vindicator,Chaos Vindicator,SKU: P-CSM-VINDICATOR,Chaos Space Marine,Yes
Heretic Astartes Daemon Prince,Daemon Prince,SKU: 99120201130,Chaos Space Marine,Yes
Heretic Astartes Daemon Prince with wings,Daemon Prince,SKU: 99120201130,Chaos Space Marine,Yes
Forgefiend,Forgefiend,SKU: 99120102089,Chaos Space Marine,Yes
Heldrake,Heldrake,SKU: 99120102090,Chaos Space Marine,Yes
Master of Executions,Master of Executions,SKU: P-CSM-MASTER-EXEC,Chaos Space Marine,Yes
Maulerfiend,Maulerfiend,SKU: 99120102089,Chaos Space Marine,Yes
Abaddon the Despoiler,,,Chaos Space Marine,
Accursed Cultists,,,Chaos Space Marine,
Chaos Bikers,,,Chaos Space Marine,
Chaos Lord,,,Chaos Space Marine,
Chaos Lord in Terminator Armour,,,Chaos Space Marine,
Chaos Lord with Jump Pack,,,Chaos Space Marine,
Chosen,,,Chaos Space Marine,
Cultist Firebrand,,,Chaos Space Marine,
Cultist Mob,,,Chaos Space Marine,
Cypher,,,Chaos Space Marine,
Dark Apostle,,,Chaos Space Marine,
Dark Commune,,,Chaos Space Marine,
Fabius Bile,,,Chaos Space Marine,
Fellgor Beastmen,,,Chaos Space Marine,
Haarken Worldclaimer,,,Chaos Space Marine,
Havocs,,,Chaos Space Marine,
Huron Blackheart,,,Chaos Space Marine,
Khorne Berzerkers,,,Chaos Space Marine,
Khorne Lord of Skulls,,,Chaos Space Marine,
Kravek Morne,,,Chaos Space Marine,
Lord Discordant on Helstalker,,,Chaos Space Marine,
Master of Possession,,,Chaos Space Marine,
Masters of the Maelstrom,,,Chaos Space Marine,
Mutilators,,,Chaos Space Marine,
Nemesis Claw,,,Chaos Space Marine,
Noise Marines,,,Chaos Space Marine,
Obliterators,,,Chaos Space Marine,
Plague Marines,,,Chaos Space Marine,
Possessed,,,Chaos Space Marine,
Raptors,,,Chaos Space Marine,
Red Corsairs Raiders,,,Chaos Space Marine,
Red Corsairs Reave-captain,,,Chaos Space Marine,
Rubric Marines,,,Chaos Space Marine,
Traitor Enforcer,,,Chaos Space Marine,
Traitor Guardsmen Squad,,,Chaos Space Marine,
Vashtorr the Arkifane,,,Chaos Space Marine,
Venomcrawler,,,Chaos Space Marine,
Warp Talons,,,Chaos Space Marine,
Warpsmith,,,Chaos Space Marine,
