card_name,db_name,gw_sku,faction,include
Vertus Praetors,Adeptus Custodes Vertus Praetors,01-11,Custodes,Yes
Custodian Wardens,Adeptus Custodes Custodian Wardens,01-10,Custodes,Yes
Custodian Guard,Adeptus Custodes Custodian Guard,01-08,Custodes,Yes
Custodian Guard with Adrasite and Pyrithite spears,Adeptus Custodes Custodian Guard,01-08,Custodes,Yes
Shield-Captain,Adeptus Custodes Shield-Captain,01-07,Custodes,Yes
Trajann Valoris,Adeptus Custodes Trajann Valoris,01-02,Custodes,Yes
Agamatus Custodians,,,Custodes,
Aleya,,,Custodes,
Allarus Custodians,,,Custodes,
Anathema Psykana Rhino,,,Custodes,
Aquilon Custodians,,,Custodes,
Ares Gunship,,,Custodes,
Blade Champion,,,Custodes,
Caladius Grav-tank,,,Custodes,
Contemptor-Achillus Dreadnought,,,Custodes,
Contemptor-Galatus Dreadnought,,,Custodes,
Coronus Grav-carrier,,,Custodes,
Knight-Centura,,,Custodes,
Orion Assault Dropship,,,Custodes,
Pallas Grav-attack,,,Custodes,
Prosecutors,,,Custodes,
Sagittarum Custodians,,,Custodes,
Shield-Captain in Allarus Terminator Armour,,,Custodes,
Shield-Captain on Dawneagle Jetbike,,,Custodes,
Telemon Heavy Dreadnought,,,Custodes,
Valerian,,,Custodes,
Venatari Custodians,,,Custodes,
Venerable Contemptor Dreadnought,,,Custodes,
Venerable Land Raider,,,Custodes,
Vigilators,,,Custodes,
Witchseekers,,,Custodes,
