card_name,db_name,gw_sku,faction,include
Mortarion,,,Death Guard,
Typhus,,,Death Guard,
Biologus Putrifier,,,Death Guard,
Daemon Prince of Nurgle,,,Death Guard,
Daemon Prince of Nurgle with wings,,,Death Guard,
Foul Blightspawn,,,Death Guard,
Icon Bearer,,,Death Guard,
Lord of Contagion,,,Death Guard,
Lord of Poxes,,,Death Guard,
Lord of Virulence,,,Death Guard,
Malignant Plaguecaster,,,Death Guard,
Noxious Blightbringer,,,Death Guard,
Plague Surgeon,,,Death Guard,
Tallyman,,,Death Guard,
Plague Marines,,,Death Guard,
Blightlord Terminators,,,Death Guard,
Deathshroud Terminators,,,Death Guard,
Poxwalkers,,,Death Guard,
Chaos Spawn,,,Death Guard,
Chaos Land Raider,,,Death Guard,
Chaos Predator Annihilator,,,Death Guard,
Chaos Predator Destructor,,,Death Guard,
Defiler,,,Death Guard,
Foetid Bloat-drone,,,Death Guard,
Foetid Bloat-drone with heavy blight launcher,,,Death Guard,
Helbrute,,,Death Guard,
Myphitic Blight-hauler,,,Death Guard,
Plagueburst Crawler,,,Death Guard,
Chaos Rhino,,,Death Guard,
Miasmic Malignifier,,,Death Guard,
