card_name,db_name,gw_sku,faction,include
Defiler,Chaos Defiler,SKU: P-CSM-DEFILER-2026,Death Guard,Yes
Helbrute,Chaos Helbrute,SKU: prod2430129-99120102043,Death Guard,Yes
Chaos Land Raider,Chaos Land Raider,SKU: 99120102052,Death Guard,Yes
Chaos Predator Annihilator,Chaos Predator,SKU: 43-09,Death Guard,Yes
Chaos Predator Destructor,Chaos Predator,SKU: 43-09,Death Guard,Yes
Chaos Rhino,Chaos Rhino,SKU: 99120102092,Death Guard,Yes
Chaos Spawn,Chaos Spawn,SKU: 99120201050,Death Guard,Yes
Beasts of Nurgle,Beast of Nurgle,SKU: prod3700246-99129915062,Death Guard,Yes
Biologus Putrifier,Death Guard Biologus Putrifier,SKU: 43-24,Death Guard,Yes
Blightlord Terminators,Death Guard Blightlord Terminators,SKU: 43-54,Death Guard,Yes
Daemon Prince of Nurgle,Daemon Prince,SKU: 99120201130,Death Guard,Yes
Daemon Prince of Nurgle with wings,Daemon Prince,SKU: 99120201130,Death Guard,Yes
Deathshroud Terminators,Death Guard Deathshroud Bodyguard,SKU: 43-56,Death Guard,Yes
Foetid Bloat-drone,Death Guard Foetid Bloat-drone,SKU: 43-55,Death Guard,Yes
Foetid Bloat-drone with heavy blight launcher,Death Guard Foetid Bloat-drone,SKU: 43-55,Death Guard,Yes
Foul Blightspawn,Death Guard Foul Blightspawn,SKU: 43-46,Death Guard,Yes
Great Unclean One,Great Unclean One,SKU: prod3700247-99129915063,Death Guard,Yes
Icon Bearer,Death Guard Plague Marine Icon Bearer,SKU: 43-47,Death Guard,Yes
Lord of Contagion,Death Guard Lord of Contagion and Blightlord Terminators,SKU: prod4650190-99120102150,Death Guard,Yes
Lord of Poxes,Death Guard Lord of Poxes,SKU: P-223010-99120102198,Death Guard,Yes
Lord of Virulence,Death Guard Lord of Virulence,SKU: 43-77,Death Guard,Yes
Malignant Plaguecaster,Death Guard Chosen of Mortarion,SKU: prod4570149-99120102114,Death Guard,Yes
Miasmic Malignifier,Death Guard Miasmic Malignifier,SKU: 43-78,Death Guard,Yes
Mortarion,Death Guard Mortarion Daemon Primarch,SKU: 43-03,Death Guard,Yes
Myphitic Blight-hauler,Death Guard Myphitic Blight-hauler,SKU: 43-56,Death Guard,Yes
Noxious Blightbringer,Death Guard Chosen of Mortarion,SKU: prod4570149-99120102114,Death Guard,Yes
Nurglings,Nurglings,SKU: prod3550127-99129915060,Death Guard,Yes
Plague Drones,Plague Drones of Nurgle,SKU: prod3610130-99129915038,Death Guard,Yes
Plague Marines,Death Guard Plague Marines,SKU: 43-50,Death Guard,Yes
Plague Surgeon,Death Guard Plague Surgeon,SKU: 43-29,Death Guard,Yes
Plaguebearers,Plaguebearers of Nurgle,SKU: P-NURGLE-PLAGUEBEARERS-40K,Death Guard,Yes
Plagueburst Crawler,Death Guard Plagueburst Crawler,SKU: 43-52,Death Guard,Yes
Poxwalkers,Death Guard Poxwalkers,SKU: 43-53,Death Guard,Yes
Rotigus,Rotigus,SKU: prod3700271-99129915063,Death Guard,Yes
Tallyman,Death Guard Tallyman,SKU: 43-45,Death Guard,Yes
Typhus,Death Guard Typhus,SKU: 43-08,Death Guard,Yes
