card_name,db_name,gw_sku,faction,include
Corvus Blackstar,Corvus Blackstar,SKU: 39-04,Deathwatch,Yes
Deathwatch Terminator Squad,,,Deathwatch,Yes
Deathwatch Veterans,,,Deathwatch,Yes
Decimus Kill Team,,,Deathwatch,Yes
Fortis Kill Team,,,Deathwatch,Yes
Indomitor Kill Team,,,Deathwatch,Yes
Spectrus Kill Team,,,Deathwatch,Yes
Talonstrike Kill Team,,,Deathwatch,Yes
Watch Captain Artemis,Watch Captain Artemis,SKU: 39-01,Deathwatch,Yes
Watch Master,Deathwatch Watch Master,SKU: 39-02,Deathwatch,Yes
Dreadnought,Venerable Dreadnought,SKU: 48-137,Deathwatch,Yes
Techmarine,Techmarine,SKU: 48-135,Deathwatch,Yes
Stormtalon Gunship,Stormtalon Gunship,SKU: 48-134,Deathwatch,Yes
Stormraven Gunship,Stormraven Gunship,SKU: 48-130,Deathwatch,Yes
Stormhawk Interceptor,Stormhawk Interceptor,SKU: 48-129,Deathwatch,Yes
Storm Speeder Thunderstrike,Storm Speeder Thunderstrike,SKU: 48-133,Deathwatch,Yes
Storm Speeder Hammerstrike,Storm Speeder Hammerstrike,SKU: 48-132,Deathwatch,Yes
Storm Speeder Hailstrike,Storm Speeder Hailstrike,SKU: 48-131,Deathwatch,Yes
Whirlwind,Space Marine Whirlwind,SKU: 48-25,Deathwatch,Yes
Vindicator,Space Marine Vindicator,SKU: 48-26,Deathwatch,Yes
Vanguard Veteran Squad with Jump Packs,Space Marine Vanguard Veteran Squad,SKU: 48-08,Deathwatch,Yes
Sternguard Veteran Squad,Space Marine Sternguard Veteran Squad,SKU: 48-43,Deathwatch,Yes
Repulsor,Space Marine Repulsor Executioner,SKU: 48-95,Deathwatch,Yes
Repulsor Executioner,Space Marine Repulsor Executioner,SKU: 48-95,Deathwatch,Yes
Redemptor Dreadnought,Space Marine Redemptor Dreadnought,SKU: 48-93,Deathwatch,Yes
Lieutenant,Space Marine Primaris Lieutenant,SKU: 48-61,Deathwatch,Yes
Eliminator Squad,Space Marine Primaris Eliminators,SKU: 48-98,Deathwatch,Yes
Predator Annihilator,Space Marine Predator,SKU: 48-23,Deathwatch,Yes
Predator Destructor,Space Marine Predator,SKU: 48-23,Deathwatch,Yes
Outrider Squad,Space Marine Outriders,SKU: 48-40,Deathwatch,Yes
Librarian,Space Marine Librarian,SKU: 48-30,Deathwatch,Yes
Land Raider,Space Marine Land Raider Crusader,SKU: 48-22,Deathwatch,Yes
Land Raider Crusader,Space Marine Land Raider Crusader,SKU: 48-22,Deathwatch,Yes
Invader ATV,Space Marine Invader ATV,SKU: 48-42,Deathwatch,Yes
Intercessor Squad,Space Marine Intercessors,SKU: 48-75,Deathwatch,Yes
Infiltrator Squad,Space Marine Infiltrators,SKU: 48-41,Deathwatch,Yes
Infernus Squad,Space Marine Infernus Squad,SKU: 48-45,Deathwatch,Yes
Incursor Squad,Space Marine Incursors,SKU: 48-96,Deathwatch,Yes
Inceptor Squad,Space Marine Inceptors,SKU: 48-97,Deathwatch,Yes
Impulsor,Space Marine Impulsor,SKU: 48-94,Deathwatch,Yes
Hammerfall Bunker,Space Marine Hammerfall Bunker,SKU: 48-27,Deathwatch,Yes
Firestrike Servo-Turrets,Space Marine Firestrike Servo-Turrets,SKU: 48-28,Deathwatch,Yes
Eradicator Squad,Space Marine Eradicators,SKU: 48-39,Deathwatch,Yes
Company Heroes,Space Marine Company Heroes,SKU: 48-37,Deathwatch,Yes
Chaplain in Terminator Armour,Space Marine Chaplain in Terminator Armour,SKU: HA-051,Deathwatch,Yes
Chaplain,Space Marine Chaplain,SKU: 48-32,Deathwatch,Yes
Brutalis Dreadnought,Space Marine Brutalis Dreadnought,SKU: 48-44,Deathwatch,Yes
Bladeguard Veteran Squad,Space Marine Bladeguard Veterans,SKU: 48-38,Deathwatch,Yes
Ballistus Dreadnought,Space Marine Ballistus Dreadnought,SKU: 48-46,Deathwatch,Yes
Assault Intercessor Squad,Space Marine Assault Intercessors,SKU: 48-76,Deathwatch,Yes
Apothecary,Space Marine Apothecary,SKU: 48-33,Deathwatch,Yes
Ancient,Space Marine Ancient,SKU: 48-34,Deathwatch,Yes
Aggressor Squad,Space Marine Aggressors,SKU: 48-92,Deathwatch,Yes
Rhino,Rhino,SKU: 48-128,Deathwatch,Yes
Reiver Squad,Reiver Squad,SKU: 48-127,Deathwatch,Yes
Razorback,Razorback,SKU: 48-126,Deathwatch,Yes
Librarian in Phobos Armour,Primaris Librarian in Phobos Armour,SKU: 48-125,Deathwatch,Yes
Lieutenant in Reiver Armour,Lieutenant in Reiver Armour,SKU: 48-121,Deathwatch,Yes
Land Raider Redeemer,Land Raider Redeemer,SKU: 48-119,Deathwatch,Yes
Invictor Tactical Warsuit,Invictor Tactical Warsuit,SKU: 48-118,Deathwatch,Yes
Hellblaster Squad,Hellblaster Squad,SKU: 48-117,Deathwatch,Yes
Heavy Intercessor Squad,Heavy Intercessor Squad,SKU: 48-116,Deathwatch,Yes
Gladiator Valiant,Gladiator Valiant,SKU: 48-115,Deathwatch,Yes
Gladiator Reaper,Gladiator Reaper,SKU: 48-114,Deathwatch,Yes
Gladiator Lancer,Gladiator Lancer,SKU: 48-113,Deathwatch,Yes
Drop Pod,Drop Pods,SKU: 48-112,Deathwatch,Yes
Desolation Squad,Desolation Squad,SKU: 48-111,Deathwatch,Yes
Chaplain on Bike,Chaplain on Bike,SKU: 48-109,Deathwatch,Yes
Centurion Devastator Squad,Centurion Devastator Squad,SKU: 48-108,Deathwatch,Yes
Centurion Assault Squad,Centurion Assault Squad,SKU: 48-107,Deathwatch,Yes
Captain,Captain with Relic Shield,SKU: 48-106,Deathwatch,Yes
Captain with Jump Pack,Captain with Jump Pack,SKU: 48-105,Deathwatch,Yes
Captain in Terminator Armour,Captain in Terminator Armour,SKU: 48-103,Deathwatch,Yes
Captain in Phobos Armour,Captain in Phobos Armour,SKU: 48-102,Deathwatch,Yes
Captain in Gravis Armour,Captain in Gravis Armour,SKU: 48-101,Deathwatch,Yes
Librarian in Terminator Armour,Blood Angels Librarian in Terminator Armour,SKU: 41-28,Deathwatch,Yes
Chaplain with Jump Pack,Blood Angels Chaplain With Jump Pack,SKU: 41-27,Deathwatch,Yes
Assault Intercessors with Jump Packs,Assault Intercessors with Jump Packs,SKU: 48-100,Deathwatch,Yes
Ancient in Terminator Armor,Ancient in Terminator Armour,SKU: 48-99,Deathwatch,Yes
Apothecary Biologis,,,Deathwatch,Yes
Astraeus,,,Deathwatch,Yes
Bladeguard Ancient,,,Deathwatch,Yes
Judiciar,,,Deathwatch,Yes
Lieutenant in Phobos Armour,,,Deathwatch,Yes
Lieutenant with Combi-weapon,,,Deathwatch,Yes
Suppressor Squad,,,Deathwatch,Yes
Thunderhawk Gunship,,,Deathwatch,Yes
