card_name,db_name,gw_sku,faction,include
Drazhar,,,Drukhari,
Kharseth,,,Drukhari,
Lady Malys,,,Drukhari,
Lelith Hesperax,,,Drukhari,
Prince Yriel,,,Drukhari,
Solitaire,,,Drukhari,
Archon,Drukhari Archon,45-02,Drukhari,Yes
Death Jester,,,Drukhari,
Haemonculus,,,Drukhari,
Shadowseer,,,Drukhari,
Succubus,,,Drukhari,
Troupe Master,,,Drukhari,
Corsair Voidreavers,,,Drukhari,
Kabalite Warriors,Drukhari Kabalite Warriors,45-07,Drukhari,Yes
Wracks,,,Drukhari,
Wyches,Drukhari Wyches,45-06,Drukhari,Yes
Corsair Skyreavers,,,Drukhari,
Corsair Voidscarred,,,Drukhari,
Hand of the Archon,,,Drukhari,
Incubi,,,Drukhari,
Mandrakes,,,Drukhari,
Scourges with Heavy Weapons,,,Drukhari,
Scourges with Shardcarbines,,,Drukhari,
Troupe,,,Drukhari,
Hellions,,,Drukhari,
Reavers,,,Drukhari,
Skyweavers,,,Drukhari,
Cronos,,,Drukhari,
Talos,,,Drukhari,
Ravager,Drukhari Ravager,45-12,Drukhari,Yes
Razorwing Jetfighter,,,Drukhari,
Starfangs,,,Drukhari,
Voidraven Bomber,,,Drukhari,
Voidweaver,,,Drukhari,
Raider,Drukhari Raider,45-10,Drukhari,Yes
Starweaver,,,Drukhari,
Venom,,,Drukhari,
