card_name,db_name,gw_sku,faction,include
Defiler,Chaos Defiler,SKU: P-CSM-DEFILER-2026,Ec,Yes
Chaos Land Raider,Chaos Land Raider,SKU: 99120102052,Ec,Yes
Chaos Rhino,Chaos Rhino,SKU: 99120102092,Ec,Yes
Chaos Terminators,Chaos Space Marines Legionaries,SKU: 43-06,Ec,Yes
Chaos Spawn,Chaos Spawn,SKU: 99120201050,Ec,Yes
Heldrake,Heldrake,SKU: 99120102090,Ec,Yes
Maulerfiend,Maulerfiend,SKU: 99120102089,Ec,Yes
Fulgrim,Fulgrim – Daemon Primarch of Slaanesh,SKU: 99120102200,Ec,Yes
Lucius the Eternal,Lucius the Eternal,SKU: 99120102201,Ec,Yes
Shalaxi Helbane,Shalaxi Helbane,SKU: 99129915056,Ec,Yes
Daemon Prince of Slaanesh,Daemon Prince,SKU: 99120201130,Ec,Yes
Daemon Prince of Slaanesh with Wings,Daemon Prince,SKU: 99120201130,Ec,Yes
Keeper of Secrets,Keeper of Secrets,SKU: 99129915056,Ec,Yes
Lord Exultant,Lord Exultant,SKU: 99120102206,Ec,Yes
Lord Kakophonist,Lord Kakophonist,SKU: 99120102205,Ec,Yes
Sorcerer,Chaos Space Marines Sorcerer,SKU: 99070102015,Ec,Yes
Daemonettes,Daemonettes of Slaanesh,SKU: 99129915036,Ec,Yes
Infractors,Tormentors,SKU: 99120102203,Ec,Yes
Tormentors,Tormentors,SKU: 99120102203,Ec,Yes
Flawless Blades,Flawless Blades,SKU: 99120102202,Ec,Yes
Noise Marines,Noise Marines,SKU: 99120102204,Ec,Yes
Seekers,Seekers of Slaanesh,SKU: 99129915005,Ec,Yes
Fiends,Fiends,SKU: 99129915052,Ec,Yes
