card_name,db_name,gw_sku,faction,include
Aberrants,Genestealer Cults Aberrants,SKU: 51-44,Genestealer Cults,Yes
Abominant,,,Genestealer Cults,
Achilles Ridgerunners,,,Genestealer Cults,
Acolyte Hybrids with Autopistols,Genestealer Cults Acolyte Hybrids,SKU: 51-41,Genestealer Cults,Yes
Acolyte Hybrids with Hand Flamers,Genestealer Cults Acolyte Hybrids,SKU: 51-41,Genestealer Cults,Yes
Acolyte Iconward,,,Genestealer Cults,
Atalan Jackals,,,Genestealer Cults,
Benefictus,,,Genestealer Cults,
Biophagus,,,Genestealer Cults,
Clamavus,,,Genestealer Cults,
Goliath Rockgrinder,,,Genestealer Cults,
Goliath Truck,,,Genestealer Cults,
Hybrid Metamorphs,,,Genestealer Cults,
Jackal Alphus,,,Genestealer Cults,
Kelermorph,,,Genestealer Cults,
Locus,,,Genestealer Cults,
Magus,Genestealer Cults Magus,SKU: 51-43,Genestealer Cults,Yes
Neophyte Hybrids,Genestealer Cults Neophyte Hybrids,SKU: 51-40,Genestealer Cults,Yes
Nexos,,,Genestealer Cults,
Patriarch,Genestealer Cults Broodcoven,SKU: 51-42,Genestealer Cults,Yes
Primus,Genestealer Cults Broodcoven,SKU: 51-42,Genestealer Cults,Yes
Purestrain Genestealers,,,Genestealer Cults,
Reductus Saboteur,,,Genestealer Cults,
Sanctus,,,Genestealer Cults,
