card_name,db_name,gw_sku,faction,include
Brotherhood Champion,Black Templars Emperor's Champion,SKU: 55-22,Grey Knights,Yes
Brother-Captain,Captain in Terminator Armour,SKU: 48-103,Grey Knights,Yes
Castellan Crowe,Castellan Crowe,,Grey Knights,Yes
Grand Master in Nemesis Dreadknight,Grand Master in Nemesis Dreadknight,,Grey Knights,Yes
Nemesis Dreadknight,Grey Knights Dreadknight,57-14,Grey Knights,Yes
Grand Master Voldus,Grey Knights Grand Master Voldus,57-02,Grey Knights,Yes
Grand Master,Grey Knights Grand Master Voldus,57-02,Grey Knights,Yes
Interceptor Squad,Grey Knights Interceptor Squad,,Grey Knights,Yes
Paladin Squad,Grey Knights Paladins,,Grey Knights,Yes
Purgation Squad,Grey Knights Purgation Squad,,Grey Knights,Yes
Purifier Squad,Grey Knights Purifier Squad,,Grey Knights,Yes
Strike Squad,Grey Knights Strike Squad,57-06,Grey Knights,Yes
Brotherhood Terminator Squad,Grey Knights Terminators,57-08,Grey Knights,Yes
Land Raider,Land Raider,SKU: 48-119,Grey Knights,Yes
Land Raider Redeemer,Land Raider Redeemer,SKU: 48-119,Grey Knights,Yes
Brotherhood Librarian,Librarian in Terminator Armour,SKU: 48-120,Grey Knights,Yes
Razorback,Razorback,SKU: 48-126,Grey Knights,Yes
Rhino,Rhino,SKU: 48-128,Grey Knights,Yes
Brotherhood Chaplain,Space Marine Chaplain in Terminator Armour,SKU: HA-051,Grey Knights,Yes
Land Raider Crusader,Space Marine Land Raider Crusader,SKU: 48-22,Grey Knights,Yes
Stormhawk Interceptor,Stormhawk Interceptor,SKU: 48-129,Grey Knights,Yes
Stormraven Gunship,Stormraven Gunship,SKU: 48-130,Grey Knights,Yes
Stormtalon Gunship,Stormtalon Gunship,SKU: 48-134,Grey Knights,Yes
Brotherhood Techmarine,Techmarine,SKU: 48-135,Grey Knights,Yes
Venerable Dreadnought,Venerable Dreadnought,SKU: 48-137,Grey Knights,Yes
Grey Knights Thunderhawk Gunship,,,Grey Knights,
