card_name,db_name,gw_sku,faction,include
Ancient in Terminator Armor,Ancient in Terminator Armour,SKU: 48-99,Imperial Fists,Yes
Assault Intercessors with Jump Packs,Assault Intercessors with Jump Packs,SKU: 48-100,Imperial Fists,Yes
Chaplain with Jump Pack,Blood Angels Chaplain With Jump Pack,SKU: 41-27,Imperial Fists,Yes
Librarian in Terminator Armour,Blood Angels Librarian in Terminator Armour,SKU: 41-28,Imperial Fists,Yes
Captain in Gravis Armour,Captain in Gravis Armour,SKU: 48-101,Imperial Fists,Yes
Captain in Phobos Armour,Captain in Phobos Armour,SKU: 48-102,Imperial Fists,Yes
Captain in Terminator Armour,Captain in Terminator Armour,SKU: 48-103,Imperial Fists,Yes
Captain with Jump Pack,Captain with Jump Pack,SKU: 48-105,Imperial Fists,Yes
Captain,Captain with Relic Shield,SKU: 48-106,Imperial Fists,Yes
Centurion Assault Squad,Centurion Assault Squad,SKU: 48-107,Imperial Fists,Yes
Centurion Devastator Squad,Centurion Devastator Squad,SKU: 48-108,Imperial Fists,Yes
Chaplain on Bike,Chaplain on Bike,SKU: 48-109,Imperial Fists,Yes
Darnath Lysander,Darnath Lysander,SKU: 60-01,Imperial Fists,Yes
Desolation Squad,Desolation Squad,SKU: 48-111,Imperial Fists,Yes
Drop Pod,Drop Pods,SKU: 48-112,Imperial Fists,Yes
Gladiator Lancer,Gladiator Lancer,SKU: 48-113,Imperial Fists,Yes
Gladiator Reaper,Gladiator Reaper,SKU: 48-114,Imperial Fists,Yes
Gladiator Valiant,Gladiator Valiant,SKU: 48-115,Imperial Fists,Yes
Heavy Intercessor Squad,Heavy Intercessor Squad,SKU: 48-116,Imperial Fists,Yes
Hellblaster Squad,Hellblaster Squad,SKU: 48-117,Imperial Fists,Yes
Invictor Tactical Warsuit,Invictor Tactical Warsuit,SKU: 48-118,Imperial Fists,Yes
Land Raider Redeemer,Land Raider Redeemer,SKU: 48-119,Imperial Fists,Yes
Lieutenant in Reiver Armour,Lieutenant in Reiver Armour,SKU: 48-121,Imperial Fists,Yes
Librarian in Phobos Armour,Primaris Librarian in Phobos Armour,SKU: 48-125,Imperial Fists,Yes
Razorback,Razorback,SKU: 48-126,Imperial Fists,Yes
Reiver Squad,Reiver Squad,SKU: 48-127,Imperial Fists,Yes
Rhino,Rhino,SKU: 48-128,Imperial Fists,Yes
Aggressor Squad,Space Marine Aggressors,SKU: 48-92,Imperial Fists,Yes
Ancient,Space Marine Ancient,SKU: 48-34,Imperial Fists,Yes
Apothecary,Space Marine Apothecary,SKU: 48-33,Imperial Fists,Yes
Apothecary Biologis,Space Marine Apothecary,SKU: 48-33,Imperial Fists,Yes
Assault Intercessor Squad,Space Marine Assault Intercessors,SKU: 48-76,Imperial Fists,Yes
Ballistus Dreadnought,Space Marine Ballistus Dreadnought,SKU: 48-46,Imperial Fists,Yes
Bladeguard Veteran Squad,Space Marine Bladeguard Veterans,SKU: 48-38,Imperial Fists,Yes
Brutalis Dreadnought,Space Marine Brutalis Dreadnought,SKU: 48-44,Imperial Fists,Yes
Chaplain,Space Marine Chaplain,SKU: 48-32,Imperial Fists,Yes
Chaplain in Terminator Armour,Space Marine Chaplain in Terminator Armour,SKU: HA-051,Imperial Fists,Yes
Company Heroes,Space Marine Company Heroes,SKU: 48-37,Imperial Fists,Yes
Devastator Squad,Space Marine Devastator Squad,SKU: 48-15,Imperial Fists,Yes
Eradicator Squad,Space Marine Eradicators,SKU: 48-39,Imperial Fists,Yes
Firestrike Servo-Turrets,Space Marine Firestrike Servo-Turrets,SKU: 48-28,Imperial Fists,Yes
Hammerfall Bunker,Space Marine Hammerfall Bunker,SKU: 48-27,Imperial Fists,Yes
Impulsor,Space Marine Impulsor,SKU: 48-94,Imperial Fists,Yes
Inceptor Squad,Space Marine Inceptors,SKU: 48-97,Imperial Fists,Yes
Incursor Squad,Space Marine Incursors,SKU: 48-96,Imperial Fists,Yes
Infernus Squad,Space Marine Infernus Squad,SKU: 48-45,Imperial Fists,Yes
