card_name,db_name,gw_sku,faction,include
Ancient in Terminator Armor,Ancient in Terminator Armour,SKU: 48-99,Iron_Hands Pts,Yes
Assault Intercessors with Jump Packs,Assault Intercessors with Jump Packs,SKU: 48-100,Iron_Hands Pts,Yes
Chaplain with Jump Pack,Blood Angels Chaplain With Jump Pack,SKU: 41-27,Iron_Hands Pts,Yes
Librarian in Terminator Armour,Blood Angels Librarian in Terminator Armour,SKU: 41-28,Iron_Hands Pts,Yes
Caanok Var,Caanok Var,SKU: 61-01,Iron_Hands Pts,Yes
Captain in Gravis Armour,Captain in Gravis Armour,SKU: 48-101,Iron_Hands Pts,Yes
Captain in Phobos Armour,Captain in Phobos Armour,SKU: 48-102,Iron_Hands Pts,Yes
Captain in Terminator Armour,Captain in Terminator Armour,SKU: 48-103,Iron_Hands Pts,Yes
Captain with Jump Pack,Captain with Jump Pack,SKU: 48-105,Iron_Hands Pts,Yes
Captain,Captain with Relic Shield,SKU: 48-106,Iron_Hands Pts,Yes
Centurion Assault Squad,Centurion Assault Squad,SKU: 48-107,Iron_Hands Pts,Yes
Centurion Devastator Squad,Centurion Devastator Squad,SKU: 48-108,Iron_Hands Pts,Yes
Chaplain on Bike,Chaplain on Bike,SKU: 48-109,Iron_Hands Pts,Yes
Desolation Squad,Desolation Squad,SKU: 48-111,Iron_Hands Pts,Yes
Drop Pod,Drop Pods,SKU: 48-112,Iron_Hands Pts,Yes
Gladiator Lancer,Gladiator Lancer,SKU: 48-113,Iron_Hands Pts,Yes
Gladiator Reaper,Gladiator Reaper,SKU: 48-114,Iron_Hands Pts,Yes
Gladiator Valiant,Gladiator Valiant,SKU: 48-115,Iron_Hands Pts,Yes
Heavy Intercessor Squad,Heavy Intercessor Squad,SKU: 48-116,Iron_Hands Pts,Yes
Hellblaster Squad,Hellblaster Squad,SKU: 48-117,Iron_Hands Pts,Yes
Invictor Tactical Warsuit,Invictor Tactical Warsuit,SKU: 48-118,Iron_Hands Pts,Yes
Iron Father Feirros,Iron Father Feirros,SKU: 61-02,Iron_Hands Pts,Yes
Land Raider Redeemer,Land Raider Redeemer,SKU: 48-119,Iron_Hands Pts,Yes
Lieutenant in Reiver Armour,Lieutenant in Reiver Armour,SKU: 48-121,Iron_Hands Pts,Yes
Librarian in Phobos Armour,Primaris Librarian in Phobos Armour,SKU: 48-125,Iron_Hands Pts,Yes
Razorback,Razorback,SKU: 48-126,Iron_Hands Pts,Yes
Reiver Squad,Reiver Squad,SKU: 48-127,Iron_Hands Pts,Yes
Rhino,Rhino,SKU: 48-128,Iron_Hands Pts,Yes
Aggressor Squad,Space Marine Aggressors,SKU: 48-92,Iron_Hands Pts,Yes
Ancient,Space Marine Ancient,SKU: 48-34,Iron_Hands Pts,Yes
Apothecary,Space Marine Apothecary,SKU: 48-33,Iron_Hands Pts,Yes
Apothecary Biologis,Space Marine Apothecary,SKU: 48-33,Iron_Hands Pts,Yes
Assault Intercessor Squad,Space Marine Assault Intercessors,SKU: 48-76,Iron_Hands Pts,Yes
Ballistus Dreadnought,Space Marine Ballistus Dreadnought,SKU: 48-46,Iron_Hands Pts,Yes
Bladeguard Veteran Squad,Space Marine Bladeguard Veterans,SKU: 48-38,Iron_Hands Pts,Yes
Brutalis Dreadnought,Space Marine Brutalis Dreadnought,SKU: 48-44,Iron_Hands Pts,Yes
Chaplain,Space Marine Chaplain,SKU: 48-32,Iron_Hands Pts,Yes
Chaplain in Terminator Armour,Space Marine Chaplain in Terminator Armour,SKU: HA-051,Iron_Hands Pts,Yes
Company Heroes,Space Marine Company Heroes,SKU: 48-37,Iron_Hands Pts,Yes
Devastator Squad,Space Marine Devastator Squad,SKU: 48-15,Iron_Hands Pts,Yes
Eradicator Squad,Space Marine Eradicators,SKU: 48-39,Iron_Hands Pts,Yes
Firestrike Servo-Turrets,Space Marine Firestrike Servo-Turrets,SKU: 48-28,Iron_Hands Pts,Yes
Impulsor,Space Marine Impulsor,SKU: 48-94,Iron_Hands Pts,Yes
Inceptor Squad,Space Marine Inceptors,SKU: 48-97,Iron_Hands Pts,Yes
