card_name,db_name,gw_sku,faction,include
Cerastus Knight Acheron,Cerastus Knight Acheron,SKU: 31-67,Knights,Yes
Cerastus Knight Castigator,Cerastus Knight Castigator,SKU: 31-66,Knights,Yes
Cerastus Knight Lancer,Cerastus Knight Lancer,SKU: 31-06,Knights,Yes
Armiger Helverin,Imperial Knight Armigers,SKU: 54-20,Knights,Yes
Armiger Warglaive,Imperial Knight Armigers,SKU: 54-20,Knights,Yes
Knight Castellan,Imperial Knight Dominus,SKU: 54-21,Knights,Yes
Knight Valiant,Imperial Knight Dominus,SKU: 54-21,Knights,Yes
Canis Rex,Imperial Knight Preceptor / Canis Rex,SKU: 54-15,Knights,Yes
Knight Preceptor,Imperial Knight Preceptor / Canis Rex,SKU: 54-15,Knights,Yes
Knight Crusader,Imperial Knight Questoris,SKU: 54-22,Knights,Yes
Knight Defender,Imperial Knight Questoris,SKU: 54-22,Knights,Yes
Knight Errant,Imperial Knight Questoris,SKU: 54-22,Knights,Yes
Knight Gallant,Imperial Knight Questoris,SKU: 54-22,Knights,Yes
Knight Paladin,Imperial Knight Questoris,SKU: 54-22,Knights,Yes
Knight Warden,Imperial Knight Questoris,SKU: 54-22,Knights,Yes
Acastus Knight Asterius,,,Knights,
Acastus Knight Porphyrion,,,Knights,
Armiger Moirax,,,Knights,
Cerastus Knight Atrapos,,,Knights,
Knight Destrier,,,Knights,
Questoris Knight Magaera,,,Knights,
Questoris Knight Styrix,,,Knights,
