card_name,db_name,gw_sku,faction,include
Annihilation Barge,Annihilation Barge,SKU: prod4390158,Necrons,Yes
Canoptek Doomstalker,Canoptek Doomstalker,SKU: prod4390146,Necrons,Yes
Canoptek Wraiths,Canoptek Wraiths,SKU: prod4390156,Necrons,Yes
Chronomancer,Chronomancer,SKU: prod4900148,Necrons,Yes
Convergence of Dominion,Convergence of Dominion,SKU: prod4390153,Necrons,Yes
Technomancer,Cryptek,SKU: prod4390141,Necrons,Yes
C'tan Shard of the Deceiver,C'tan Shard of The Deceiver,SKU: prod2901178,Necrons,Yes
C'tan Shard of the Nightbringer,C'tan Shard of the Nightbringer,SKU: P-241016,Necrons,Yes
Deathmarks,Deathmarks,SKU: prod4390142,Necrons,Yes
Ghost Ark,Ghost Ark,SKU: prod4390157,Necrons,Yes
Hexmark Destroyer,Hexmark Destroyer,SKU: prod4390148,Necrons,Yes
Illuminor Szeras,Illuminor Szeras,SKU: prod4390160,Necrons,Yes
Imotekh the Stormlord,Imotekh the Stormlord,SKU: prod4900149,Necrons,Yes
Lokhust Destroyers,Lokhust Destroyer Squadron,SKU: prod4390155,Necrons,Yes
Lokhust Heavy Destroyers,Lokhust Heavy Destroyer,SKU: prod4390145,Necrons,Yes
C'tan Shard of the Void Dragon,Necron C’tan Shard of the Void Dragon,SKU: 49-20,Necrons,Yes
Canoptek Spyders,Necron Canoptek Spyder,SKU: 49-14,Necrons,Yes
Catacomb Command Barge,Necron Catacomb Command Barge,SKU: prod4390158,Necrons,Yes
Doom Scythe,Necron Doom Scythe,SKU: 49-13,Necrons,Yes
Doomsday Ark,Necron Doomsday Ark,SKU: 49-12,Necrons,Yes
Flayed Ones,Necron Flayed Ones,SKU: 49-17,Necrons,Yes
Immortals,Necron Immortals,SKU: 49-10,Necrons,Yes
Lychguard,Necron Lychguard,SKU: 49-11,Necrons,Yes
Monolith,Necron Monolith,SKU: 49-08,Necrons,Yes
Overlord,Necron Overlord,SKU: 49-03,Necrons,Yes
Psychomancer,Necron Psychomancer,SKU: 49-21,Necrons,Yes
Royal Warden,Necron Royal Warden,SKU: 49-22,Necrons,Yes
Necron Warriors,Necron Warriors,SKU: 49-06,Necrons,Yes
Canoptek Reanimator,Necrons Royal Court,SKU: prod4900147,Necrons,Yes
Cryptothralls,Necrons Royal Court,SKU: prod4900147,Necrons,Yes
Plasmancer,Necrons Royal Court,SKU: prod4900147,Necrons,Yes
Skorpekh Lord,Necrons Royal Court,SKU: prod4900147,Necrons,Yes
Nekrosor Ammentar,Nekrosor Ammentar,SKU: P-241017,Necrons,Yes
Night Scythe,Night Scythe,SKU: prod4390159,Necrons,Yes
Obelisk,Obelisk & Transcendent C'tan,SKU: prod3590140,Necrons,Yes
Transcendent C'tan,Obelisk & Transcendent C'tan,SKU: prod3590140,Necrons,Yes
Ophydian Destroyers,Ophydian Destroyers,SKU: prod4390154,Necrons,Yes
Orikan the Diviner,Orikan the Diviner,SKU: prod4900151,Necrons,Yes
Overlord with Translocation Shroud,Overlord with Tachyon Arrow,SKU: prod4900150,Necrons,Yes
Skorpekh Destroyers,Skorpekh Destroyers,SKU: prod4390150,Necrons,Yes
The Silent King,"Szarekh, The Silent King",SKU: prod4390152,Necrons,Yes
Tesseract Vault,Tesseract Vault,SKU: prod3590140,Necrons,Yes
Tomb Blades,Tomb Blades,SKU: prod3940162,Necrons,Yes
Trazyn the Infinite,Trazyn the Infinite,SKU: prod2791068,Necrons,Yes
Triarch Praetorians,Triarch Praetorians,SKU: prod4390144,Necrons,Yes
Triarch Stalker,Triarch Stalker,SKU: prod4390143,Necrons,Yes
Canoptek Macrocytes,,,Necrons,No
Canoptek Scarab Swarms,,,Necrons,No
Canoptek Tomb Crawlers,,,Necrons,No
Geomancer,,,Necrons,No
Lokhust Lord,,,Necrons,No
Seraptek Heavy Construct,,,Necrons,No
