card_name,db_name,gw_sku,faction,include
Beastboss,Beastboss,,Orks,Yes
Beastboss on Squigosaur,Beastboss on Squigosaur,,Orks,Yes
Big Mek,Big Mek,,Orks,Yes
Big Mek in Mega Armour,Big Mek in Mega Armour,,Orks,Yes
Big Mek with Shokk Attack Gun,Big Mek with Shokk Attack Gun,,Orks,Yes
Blitza-bommer,Blitza-Bommer,,Orks,Yes
Boomdakka Snazzwagon,Boomdakka Snazzwagon,,Orks,Yes
Boss Snikrot,Boss Snikrot,,Orks,Yes
Burna-bommer,Burna-Bommer,,Orks,Yes
Dakkajet,Dakkajet,,Orks,Yes
Deffkilla Wartrike,Deffkilla Wartrike,,Orks,Yes
Deffkoptas,Deffkoptas,,Orks,Yes
Ghazghkull Thraka,Ghazghkull Thraka,,Orks,Yes
Gorkanaut,Gorkanaut,,Orks,Yes
Hunta Rig,Hunta Rig,,Orks,Yes
Kill Rig,Kill Rig,,Orks,Yes
Kommandos,Kommandos,,Orks,Yes
Kustom Boosta-blasta,Kustom Boosta-blasta,,Orks,Yes
Megatrakk Scrapjet,Megatrakk Scrapjet,,Orks,Yes
Mek Gunz,Mek Gunz: Bubblechukka,,Orks,Yes
Morkanaut,Morkanaut,,Orks,Yes
Mozrog Skragbad,Mozrog Skragbad,,Orks,Yes
Battlewagon,Ork Battlewagon,SKU: 50-22,Orks,Yes
Beast Snagga Boyz,Ork Beast Snagga Boyz,,Orks,Yes
Boyz,Ork Boyz,SKU: 50-10,Orks,Yes
Burna Boyz,Ork Burna Boyz,,Orks,Yes
Deff Dread,Ork Deff Dread,SKU: 50-16,Orks,Yes
Flash Gitz,Ork Flash Gitz,SKU: 50-20,Orks,Yes
Gretchin,Ork Gretchin,,Orks,Yes
Killa Kans,Ork Killa Kans,SKU: 50-15,Orks,Yes
Lootas,Ork Lootas,SKU: 50-14,Orks,Yes
Meganobz,Ork Meganobz,SKU: 50-12,Orks,Yes
Mek,Ork Mek,,Orks,Yes
Nobz,Ork Nobz,SKU: 50-09,Orks,Yes
Painboy,Ork Painboy,,Orks,Yes
Stormboyz,Ork Stormboyz,,Orks,Yes
Trukk,Ork Trukk,SKU: 50-11,Orks,Yes
Warbikers,Ork Warbiker Mob,,Orks,Yes
Warboss,Ork Warboss in Mega Armour,,Orks,Yes
Warboss in Mega Armour,Ork Warboss in Mega Armour,,Orks,Yes
Painboss,Painboss,,Orks,Yes
Rukkatrukk Squigbuggy,Rukkatrukk Squigbuggy,,Orks,Yes
Shokkjump Dragsta,Shokkjump Dragsta,,Orks,Yes
Squighog Boyz,Squighog Boyz,,Orks,Yes
Stompa,Stompa,,Orks,Yes
Wazbom Blastajet,Wazbom Blastajet,,Orks,Yes
Weirdboy,Weirdboy,,Orks,Yes
Zodgrod Wortsnagga,Zodgrod Wortsnagga,,Orks,Yes
Breaka Boyz,,,Orks,
Gargantuan Squiggoth,,,Orks,
Tankbustas,,,Orks,
Wurrboy,,,Orks,
