card_name,db_name,gw_sku,faction,include
Aethon Shaan,Aethon Shaan,SKU: 62-01,Raven Guard Pts,Yes
Ancient in Terminator Armor,Ancient in Terminator Armour,SKU: 48-99,Raven Guard Pts,Yes
Assault Intercessors with Jump Packs,Assault Intercessors with Jump Packs,SKU: 48-100,Raven Guard Pts,Yes
Chaplain with Jump Pack,Blood Angels Chaplain With Jump Pack,SKU: 41-27,Raven Guard Pts,Yes
Librarian in Terminator Armour,Blood Angels Librarian in Terminator Armour,SKU: 41-28,Raven Guard Pts,Yes
Captain in Gravis Armour,Captain in Gravis Armour,SKU: 48-101,Raven Guard Pts,Yes
Captain in Phobos Armour,Captain in Phobos Armour,SKU: 48-102,Raven Guard Pts,Yes
Captain in Terminator Armour,Captain in Terminator Armour,SKU: 48-103,Raven Guard Pts,Yes
Captain with Jump Pack,Captain with Jump Pack,SKU: 48-105,Raven Guard Pts,Yes
Captain,Captain with Relic Shield,SKU: 48-106,Raven Guard Pts,Yes
Centurion Assault Squad,Centurion Assault Squad,SKU: 48-107,Raven Guard Pts,Yes
Centurion Devastator Squad,Centurion Devastator Squad,SKU: 48-108,Raven Guard Pts,Yes
Chaplain on Bike,Chaplain on Bike,SKU: 48-109,Raven Guard Pts,Yes
Desolation Squad,Desolation Squad,SKU: 48-111,Raven Guard Pts,Yes
Drop Pod,Drop Pods,SKU: 48-112,Raven Guard Pts,Yes
Gladiator Lancer,Gladiator Lancer,SKU: 48-113,Raven Guard Pts,Yes
Gladiator Reaper,Gladiator Reaper,SKU: 48-114,Raven Guard Pts,Yes
Gladiator Valiant,Gladiator Valiant,SKU: 48-115,Raven Guard Pts,Yes
Heavy Intercessor Squad,Heavy Intercessor Squad,SKU: 48-116,Raven Guard Pts,Yes
Hellblaster Squad,Hellblaster Squad,SKU: 48-117,Raven Guard Pts,Yes
Invictor Tactical Warsuit,Invictor Tactical Warsuit,SKU: 48-118,Raven Guard Pts,Yes
Kayvaan Shrike,Kayvaan Shrike,SKU: 62-02,Raven Guard Pts,Yes
Land Raider Redeemer,Land Raider Redeemer,SKU: 48-119,Raven Guard Pts,Yes
Lieutenant in Reiver Armour,Lieutenant in Reiver Armour,SKU: 48-121,Raven Guard Pts,Yes
Librarian in Phobos Armour,Primaris Librarian in Phobos Armour,SKU: 48-125,Raven Guard Pts,Yes
Razorback,Razorback,SKU: 48-126,Raven Guard Pts,Yes
Reiver Squad,Reiver Squad,SKU: 48-127,Raven Guard Pts,Yes
Rhino,Rhino,SKU: 48-128,Raven Guard Pts,Yes
Aggressor Squad,Space Marine Aggressors,SKU: 48-92,Raven Guard Pts,Yes
Ancient,Space Marine Ancient,SKU: 48-34,Raven Guard Pts,Yes
Apothecary,Space Marine Apothecary,SKU: 48-33,Raven Guard Pts,Yes
Apothecary Biologis,Space Marine Apothecary,SKU: 48-33,Raven Guard Pts,Yes
Assault Intercessor Squad,Space Marine Assault Intercessors,SKU: 48-76,Raven Guard Pts,Yes
