card_name,db_name,gw_sku,faction,include
Adrax Agatone,Adrax Agatone,SKU: 63-01,Salamanders,Yes
Aggressor Squad,Space Marine Aggressors,SKU: 48-92,Salamanders,Yes
Ancient,Space Marine Ancient,SKU: 48-34,Salamanders,Yes
Ancient in Terminator Armor,Ancient in Terminator Armour,SKU: 48-99,Salamanders,Yes
Apothecary,Space Marine Apothecary,SKU: 48-33,Salamanders,Yes
Apothecary Biologis,Space Marine Apothecary,SKU: 48-33,Salamanders,Yes
Assault Intercessor Squad,Space Marine Assault Intercessors,SKU: 48-76,Salamanders,Yes
Assault Intercessors with Jump Packs,Assault Intercessors with Jump Packs,SKU: 48-100,Salamanders,Yes
Astraeus,,,Salamanders,
Ballistus Dreadnought,Space Marine Ballistus Dreadnought,SKU: 48-46,Salamanders,Yes
Bladeguard Ancient,,,Salamanders,
Bladeguard Veteran Squad,Space Marine Bladeguard Veterans,SKU: 48-38,Salamanders,Yes
Brutalis Dreadnought,Space Marine Brutalis Dreadnought,SKU: 48-44,Salamanders,Yes
Captain,Captain with Relic Shield,SKU: 48-106,Salamanders,Yes
Captain in Gravis Armour,Captain in Gravis Armour,SKU: 48-101,Salamanders,Yes
Captain in Phobos Armour,Captain in Phobos Armour,SKU: 48-102,Salamanders,Yes
Captain in Terminator Armour,Captain in Terminator Armour,SKU: 48-103,Salamanders,Yes
Captain with Jump Pack,Captain with Jump Pack,SKU: 48-105,Salamanders,Yes
Centurion Assault Squad,Centurion Assault Squad,SKU: 48-107,Salamanders,Yes
Centurion Devastator Squad,Centurion Devastator Squad,SKU: 48-108,Salamanders,Yes
Chaplain,Space Marine Chaplain,SKU: 48-32,Salamanders,Yes
Chaplain in Terminator Armour,Space Marine Chaplain in Terminator Armour,SKU: HA-051,Salamanders,Yes
Chaplain on Bike,Chaplain on Bike,SKU: 48-109,Salamanders,Yes
Chaplain with Jump Pack,Blood Angels Chaplain With Jump Pack,SKU: 41-27,Salamanders,Yes
Company Heroes,Space Marine Company Heroes,SKU: 48-37,Salamanders,Yes
Desolation Squad,Desolation Squad,SKU: 48-111,Salamanders,Yes
Devastator Squad,Space Marine Devastator Squad,SKU: 48-15,Salamanders,Yes
Dreadnought,Venerable Dreadnought,SKU: 48-137,Salamanders,Yes
Drop Pod,Drop Pods,SKU: 48-112,Salamanders,Yes
Eliminator Squad,Space Marine Primaris Eliminators,SKU: 48-98,Salamanders,Yes
Eradicator Squad,Space Marine Eradicators,SKU: 48-39,Salamanders,Yes
Firestrike Servo-Turrets,Space Marine Firestrike Servo-Turrets,SKU: 48-28,Salamanders,Yes
Gladiator Lancer,Gladiator Lancer,SKU: 48-113,Salamanders,Yes
Gladiator Reaper,Gladiator Reaper,SKU: 48-114,Salamanders,Yes
Gladiator Valiant,Gladiator Valiant,SKU: 48-115,Salamanders,Yes
Hammerfall Bunker,Space Marine Hammerfall Bunker,SKU: 48-27,Salamanders,Yes
Heavy Intercessor Squad,Heavy Intercessor Squad,SKU: 48-116,Salamanders,Yes
Hellblaster Squad,Hellblaster Squad,SKU: 48-117,Salamanders,Yes
Impulsor,Space Marine Impulsor,SKU: 48-94,Salamanders,Yes
Inceptor Squad,Space Marine Inceptors,SKU: 48-97,Salamanders,Yes
Incursor Squad,Space Marine Incursors,SKU: 48-96,Salamanders,Yes
Infernus Squad,Space Marine Infernus Squad,SKU: 48-45,Salamanders,Yes
Infiltrator Squad,Space Marine Infiltrators,SKU: 48-41,Salamanders,Yes
Intercessor Squad,Space Marine Intercessors,SKU: 48-75,Salamanders,Yes
Invader ATV,Space Marine Invader ATV,SKU: 48-42,Salamanders,Yes
