card_name,db_name,gw_sku,faction,include
Battle Sisters Squad,Adepta Sororitas Battle Sisters Squad,SKU: 52-20,Sisters_Of_Battle,Yes
Celestian Sacresants,Adepta Sororitas Celestian Sacresants,SKU: 52-22,Sisters_Of_Battle,Yes
Exorcist,Adepta Sororitas Exorcist,SKU: 52-08,Sisters_Of_Battle,Yes
Immolator,Adepta Sororitas Immolator,SKU: 52-09,Sisters_Of_Battle,Yes
Morvenn Vahl,Adepta Sororitas Morvenn Vahl,SKU: 52-02,Sisters_Of_Battle,Yes
Retributor Squad,Adepta Sororitas Retributor Squad,SKU: 52-15,Sisters_Of_Battle,Yes
Seraphim Squad,Adepta Sororitas Seraphim Squad,SKU: 52-12,Sisters_Of_Battle,Yes
Aestred Thurga and Agathae Dolan,,,Sisters_Of_Battle,
Arco-Flagellants,,,Sisters_Of_Battle,
Canoness,,,Sisters_Of_Battle,
Canoness with Jump Pack,,,Sisters_Of_Battle,
Castigator,,,Sisters_Of_Battle,
Celestian Insidiants,,,Sisters_Of_Battle,
Daemonifuge,,,Sisters_Of_Battle,
Dialogus,,,Sisters_Of_Battle,
Dogmata,,,Sisters_Of_Battle,
Dominion Squad,,,Sisters_Of_Battle,
Hospitaller,,,Sisters_Of_Battle,
Imagifier,,,Sisters_Of_Battle,
Junith Eruita,,,Sisters_Of_Battle,
Ministorum Priest,,,Sisters_Of_Battle,
Mortifiers,,,Sisters_Of_Battle,
Palatine,,,Sisters_Of_Battle,
Paragon Warsuits,,,Sisters_Of_Battle,
Penitent Engines,,,Sisters_Of_Battle,
Repentia Squad,,,Sisters_Of_Battle,
Saint Celestine,,,Sisters_Of_Battle,
Sanctifiers,,,Sisters_Of_Battle,
Sisters Novitiate Squad,,,Sisters_Of_Battle,
Sororitas Rhino,,,Sisters_Of_Battle,
Triumph of Saint Katherine,,,Sisters_Of_Battle,
Zephyrim Squad,,,Sisters_Of_Battle,
