card_name,db_name,gw_sku,faction,include
Aggressor Squad,Space Marine Aggressors,SKU: 48-92,Spacemarines,Yes
Ancient,Space Marine Ancient,SKU: 48-34,Spacemarines,Yes
Ancient in Terminator Armor,Ancient in Terminator Armour,SKU: 48-99,Spacemarines,Yes
Apothecary,Space Marine Apothecary,SKU: 48-33,Spacemarines,Yes
Apothecary Biologis,,,Spacemarines,Yes
Assault Intercessor Squad,Space Marine Assault Intercessors,SKU: 48-76,Spacemarines,Yes
Assault Intercessors with Jump Packs,Assault Intercessors with Jump Packs,SKU: 48-100,Spacemarines,Yes
Astraeus,,,Spacemarines,Yes
Ballistus Dreadnought,Space Marine Ballistus Dreadnought,SKU: 48-46,Spacemarines,Yes
Bladeguard Ancient,,,Spacemarines,Yes
Bladeguard Veteran Squad,Space Marine Bladeguard Veterans,SKU: 48-38,Spacemarines,Yes
Brutalis Dreadnought,Space Marine Brutalis Dreadnought,SKU: 48-44,Spacemarines,Yes
Captain,Captain with Relic Shield,SKU: 48-106,Spacemarines,Yes
Captain in Gravis Armour,Captain in Gravis Armour,SKU: 48-101,Spacemarines,Yes
Captain in Phobos Armour,Captain in Phobos Armour,SKU: 48-102,Spacemarines,Yes
Captain in Terminator Armour,Captain in Terminator Armour,SKU: 48-103,Spacemarines,Yes
Captain with Jump Pack,Captain with Jump Pack,SKU: 48-105,Spacemarines,Yes
Centurion Assault Squad,Centurion Assault Squad,SKU: 48-107,Spacemarines,Yes
Centurion Devastator Squad,Centurion Devastator Squad,SKU: 48-108,Spacemarines,Yes
Chaplain,Space Marine Chaplain,SKU: 48-32,Spacemarines,Yes
Chaplain in Terminator Armour,Space Marine Chaplain in Terminator Armour,SKU: HA-051,Spacemarines,Yes
Chaplain on Bike,Chaplain on Bike,SKU: 48-109,Spacemarines,Yes
Chaplain with Jump Pack,Blood Angels Chaplain With Jump Pack,SKU: 41-27,Spacemarines,Yes
Company Heroes,Space Marine Company Heroes,SKU: 48-37,Spacemarines,Yes
Desolation Squad,Desolation Squad,SKU: 48-111,Spacemarines,Yes
Devastator Squad,Space Marine Devastator Squad,SKU: 48-15,Spacemarines,Yes
Dreadnought,Venerable Dreadnought,SKU: 48-137,Spacemarines,Yes
Drop Pod,Drop Pods,SKU: 48-112,Spacemarines,Yes
Eliminator Squad,Space Marine Primaris Eliminators,SKU: 48-98,Spacemarines,Yes
Eradicator Squad,Space Marine Eradicators,SKU: 48-39,Spacemarines,Yes
Firestrike Servo-Turrets,Space Marine Firestrike Servo-Turrets,SKU: 48-28,Spacemarines,Yes
Gladiator Lancer,Gladiator Lancer,SKU: 48-113,Spacemarines,Yes
Gladiator Reaper,Gladiator Reaper,SKU: 48-114,Spacemarines,Yes
Gladiator Valiant,Gladiator Valiant,SKU: 48-115,Spacemarines,Yes
Hammerfall Bunker,Space Marine Hammerfall Bunker,SKU: 48-27,Spacemarines,Yes
Heavy Intercessor Squad,Heavy Intercessor Squad,SKU: 48-116,Spacemarines,Yes
Hellblaster Squad,Hellblaster Squad,SKU: 48-117,Spacemarines,Yes
Impulsor,Space Marine Impulsor,SKU: 48-94,Spacemarines,Yes
Inceptor Squad,Space Marine Inceptors,SKU: 48-97,Spacemarines,Yes
Incursor Squad,Space Marine Incursors,SKU: 48-96,Spacemarines,Yes
Infernus Squad,Space Marine Infernus Squad,SKU: 48-45,Spacemarines,Yes
Infiltrator Squad,Space Marine Infiltrators,SKU: 48-41,Spacemarines,Yes
Intercessor Squad,Space Marine Intercessors,SKU: 48-75,Spacemarines,Yes
Invader ATV,Space Marine Invader ATV,SKU: 48-42,Spacemarines,Yes
Invictor Tactical Warsuit,Invictor Tactical Warsuit,SKU: 48-118,Spacemarines,Yes
Judiciar,,,Spacemarines,Yes
Land Raider,Space Marine Land Raider Crusader,SKU: 48-22,Spacemarines,Yes
Land Raider Crusader,Space Marine Land Raider Crusader,SKU: 48-22,Spacemarines,Yes
Land Raider Redeemer,Land Raider Redeemer,SKU: 48-119,Spacemarines,Yes
Librarian,Space Marine Librarian,SKU: 48-30,Spacemarines,Yes
Librarian in Phobos Armour,Primaris Librarian in Phobos Armour,SKU: 48-125,Spacemarines,Yes
Librarian in Terminator Armour,Blood Angels Librarian in Terminator Armour,SKU: 41-28,Spacemarines,Yes
Lieutenant,Space Marine Primaris Lieutenant,SKU: 48-61,Spacemarines,Yes
Lieutenant in Phobos Armour,,,Spacemarines,Yes
Lieutenant in Reiver Armour,Lieutenant in Reiver Armour,SKU: 48-121,Spacemarines,Yes
Lieutenant with Combi-weapon,,,Spacemarines,Yes
Outrider Squad,Space Marine Outriders,SKU: 48-40,Spacemarines,Yes
Predator Annihilator,Space Marine Predator,SKU: 48-23,Spacemarines,Yes
Predator Destructor,Space Marine Predator,SKU: 48-23,Spacemarines,Yes
Razorback,Razorback,SKU: 48-126,Spacemarines,Yes
Redemptor Dreadnought,Space Marine Redemptor Dreadnought,SKU: 48-93,Spacemarines,Yes
Reiver Squad,Reiver Squad,SKU: 48-127,Spacemarines,Yes
Repulsor,Space Marine Repulsor Executioner,SKU: 48-95,Spacemarines,Yes
Repulsor Executioner,Space Marine Repulsor Executioner,SKU: 48-95,Spacemarines,Yes
Rhino,Rhino,SKU: 48-128,Spacemarines,Yes
Scout Squad,Space Marine Scouts,SKU: 48-29,Spacemarines,Yes
Sternguard Veteran Squad,Space Marine Sternguard Veteran Squad,SKU: 48-43,Spacemarines,Yes
Storm Speeder Hailstrike,Storm Speeder Hailstrike,SKU: 48-131,Spacemarines,Yes
Storm Speeder Hammerstrike,Storm Speeder Hammerstrike,SKU: 48-132,Spacemarines,Yes
Storm Speeder Thunderstrike,Storm Speeder Thunderstrike,SKU: 48-133,Spacemarines,Yes
Stormhawk Interceptor,Stormhawk Interceptor,SKU: 48-129,Spacemarines,Yes
Stormraven Gunship,Stormraven Gunship,SKU: 48-130,Spacemarines,Yes
