card_name,db_name,gw_sku,faction,include
Ancient in Terminator Armor,Ancient in Terminator Armour,SKU: 48-99,Spacewolves,Yes
Arjac Rockfist,Arjac Rockfist,SKU: 53-21,Spacewolves,Yes
Assault Intercessors with Jump Packs,Assault Intercessors with Jump Packs,SKU: 48-100,Spacewolves,Yes
Bjorn the Fell-Handed,Bjorn the Fell-handed,SKU: 53-22,Spacewolves,Yes
Chaplain with Jump Pack,Blood Angels Chaplain With Jump Pack,SKU: 41-27,Spacewolves,Yes
Librarian in Terminator Armour,Blood Angels Librarian in Terminator Armour,SKU: 41-28,Spacewolves,Yes
Blood Claws,Blood Claws,SKU: 53-23,Spacewolves,Yes
Captain in Gravis Armour,Captain in Gravis Armour,SKU: 48-101,Spacewolves,Yes
Captain in Phobos Armour,Captain in Phobos Armour,SKU: 48-102,Spacewolves,Yes
Captain in Terminator Armour,Captain in Terminator Armour,SKU: 48-103,Spacewolves,Yes
Captain with Jump Pack,Captain with Jump Pack,SKU: 48-105,Spacewolves,Yes
Captain,Captain with Relic Shield,SKU: 48-106,Spacewolves,Yes
Centurion Assault Squad,Centurion Assault Squad,SKU: 48-107,Spacewolves,Yes
Centurion Devastator Squad,Centurion Devastator Squad,SKU: 48-108,Spacewolves,Yes
Chaplain on Bike,Chaplain on Bike,SKU: 48-109,Spacewolves,Yes
Desolation Squad,Desolation Squad,SKU: 48-111,Spacewolves,Yes
Drop Pod,Drop Pods,SKU: 48-112,Spacewolves,Yes
Fenrisian Wolves,Fenrisian Wolves,SKU: 53-25,Spacewolves,Yes
Gladiator Lancer,Gladiator Lancer,SKU: 48-113,Spacewolves,Yes
Gladiator Reaper,Gladiator Reaper,SKU: 48-114,Spacewolves,Yes
Gladiator Valiant,Gladiator Valiant,SKU: 48-115,Spacewolves,Yes
Heavy Intercessor Squad,Heavy Intercessor Squad,SKU: 48-116,Spacewolves,Yes
Hellblaster Squad,Hellblaster Squad,SKU: 48-117,Spacewolves,Yes
Invictor Tactical Warsuit,Invictor Tactical Warsuit,SKU: 48-118,Spacewolves,Yes
Iron Priest,Iron Priest,SKU: 53-26,Spacewolves,Yes
Land Raider Redeemer,Land Raider Redeemer,SKU: 48-119,Spacewolves,Yes
Lieutenant in Reiver Armour,Lieutenant in Reiver Armour,SKU: 48-121,Spacewolves,Yes
Logan Grimnar,Logan Grimnar,SKU: 53-27,Spacewolves,Yes
Murderfang,Murderfang,SKU: 53-28,Spacewolves,Yes
Njal Stormcaller,Njal Stormcaller,SKU: 53-29,Spacewolves,Yes
Librarian in Phobos Armour,Primaris Librarian in Phobos Armour,SKU: 48-125,Spacewolves,Yes
Razorback,Razorback,SKU: 48-126,Spacewolves,Yes
Reiver Squad,Reiver Squad,SKU: 48-127,Spacewolves,Yes
Rhino,Rhino,SKU: 48-128,Spacewolves,Yes
Aggressor Squad,Space Marine Aggressors,SKU: 48-92,Spacewolves,Yes
Ancient,Space Marine Ancient,SKU: 48-34,Spacewolves,Yes
Assault Intercessor Squad,Space Marine Assault Intercessors,SKU: 48-76,Spacewolves,Yes
Ballistus Dreadnought,Space Marine Ballistus Dreadnought,SKU: 48-46,Spacewolves,Yes
Bladeguard Veteran Squad,Space Marine Bladeguard Veterans,SKU: 48-38,Spacewolves,Yes
Brutalis Dreadnought,Space Marine Brutalis Dreadnought,SKU: 48-44,Spacewolves,Yes
Chaplain,Space Marine Chaplain,SKU: 48-32,Spacewolves,Yes
