card_name,db_name,gw_sku,faction,include
Broadside Battlesuits,T'au Broadside Battlesuit,SKU: 56-13,Tau,Yes
Crisis Fireknife Battlesuits,T'au Crisis Battlesuits,SKU: 56-15,Tau,Yes
Crisis Starscythe Battlesuits,T'au Crisis Battlesuits,SKU: 56-15,Tau,Yes
Crisis Sunforge Battlesuits,T'au Crisis Battlesuits,SKU: 56-15,Tau,Yes
Ethereal,T'au Ethereal,SKU: 56-22,Tau,Yes
Breacher Team,T'au Fire Warriors,SKU: 56-06,Tau,Yes
Strike Team,T'au Fire Warriors,SKU: 56-06,Tau,Yes
Hammerhead Gunship,T'au Hammerhead Gunship,SKU: 56-10,Tau,Yes
Pathfinder Team,T'au Pathfinders,SKU: 56-19,Tau,Yes
Riptide Battlesuit,T'au Riptide Battlesuit,SKU: 56-16,Tau,Yes
Stealth Battlesuits,T'au Stealth Battlesuits,SKU: 56-14,Tau,Yes
AX-1-0 Tiger Shark,,,Tau,
Cadre Fireblade,,,Tau,
Commander Farsight,,,Tau,
Commander in Coldstar Battlesuit,,,Tau,
Commander in Enforcer Battlesuit,,,Tau,
Commander Shadowsun,,,Tau,
Darkstrider,,,Tau,
Devilfish,,,Tau,
Firesight Team,,,Tau,
Ghostkeel Battlesuit,,,Tau,
Kroot Carnivores,,,Tau,
Kroot Farstalkers,,,Tau,
Kroot Flesh Shaper,,,Tau,
Kroot Hounds,,,Tau,
Kroot Lone-spear,,,Tau,
Kroot Trail Shaper,,,Tau,
Kroot War Shaper,,,Tau,
Krootox Rampagers,,,Tau,
Krootox Riders,,,Tau,
Manta,,,Tau,
Piranhas,,,Tau,
Sky Ray Gunship,,,Tau,
Stormsurge,,,Tau,
Sun Shark Bomber,,,Tau,
Ta'unar Supremacy Armour,,,Tau,
The Twin Lance,,,Tau,
Tidewall Droneport,,,Tau,
Tidewall Gunrig,,,Tau,
Tidewall Shieldline,,,Tau,
Tiger Shark,,,Tau,
Vespid Stingwings,,,Tau,
