card_name,db_name,gw_sku,faction,include
Blue Horrors,Blue Horrors and Brimstone Horrors,SKU: P-TZEENTCH-BLUEHORRORS,Thousand Sons,Yes
Defiler,Chaos Defiler,SKU: P-CSM-DEFILER-2026,Thousand Sons,Yes
Helbrute,Chaos Helbrute,SKU: prod2430129-99120102043,Thousand Sons,Yes
Chaos Land Raider,Chaos Land Raider,SKU: 99120102052,Thousand Sons,Yes
Chaos Predator Annihilator,Chaos Predator,SKU: 43-09,Thousand Sons,Yes
Chaos Predator Destructor,Chaos Predator,SKU: 43-09,Thousand Sons,Yes
Chaos Rhino,Chaos Rhino,SKU: 99120102092,Thousand Sons,Yes
Chaos Spawn,Chaos Spawn,SKU: 99120201050,Thousand Sons,Yes
Chaos Vindicator,Chaos Vindicator,SKU: P-CSM-VINDICATOR,Thousand Sons,Yes
Daemon Prince of Tzeentch,Daemon Prince,SKU: 99120201130,Thousand Sons,Yes
Daemon Prince of Tzeentch with wings,Daemon Prince,SKU: 99120201130,Thousand Sons,Yes
Flamers,Flamers of Tzeentch,SKU: P-TZEENTCH-FLAMERS,Thousand Sons,Yes
Forgefiend,Forgefiend,SKU: 99120102089,Thousand Sons,Yes
Heldrake,Heldrake,SKU: 99120102090,Thousand Sons,Yes
Kairos Fateweaver,Kairos Fateweaver,SKU: P-TZEENTCH-KAIROS,Thousand Sons,Yes
Lord of Change,Lord of Change,SKU: P-TZEENTCH-LOC,Thousand Sons,Yes
Maulerfiend,Maulerfiend,SKU: 99120102089,Thousand Sons,Yes
Mutalith Vortex Beast,Mutalith Vortex Beast,SKU: P-MUTALITH-VB,Thousand Sons,Yes
Pink Horrors,Pink Horrors of Tzeentch,SKU: P-PINK-HORRORS-40K,Thousand Sons,Yes
Screamers,Screamers of Tzeentch,SKU: P-TZEENTCH-SCREAMERS,Thousand Sons,Yes
Ahriman,Thousand Sons Ahriman,SKU: 43-30,Thousand Sons,Yes
Exalted Sorcerer,Thousand Sons Exalted Sorcerers,SKU: 43-38,Thousand Sons,Yes
Exalted Sorcerer on Disc of Tzeentch,Thousand Sons Exalted Sorcerers,SKU: 43-38,Thousand Sons,Yes
Infernal Master,Thousand Sons Infernal Master,SKU: 43-79,Thousand Sons,Yes
Magnus the Red,Thousand Sons Magnus the Red,SKU: 43-02,Thousand Sons,Yes
Rubric Marines,Thousand Sons Rubric Marines,SKU: 43-35,Thousand Sons,Yes
Scarab Occult Terminators,Thousand Sons Scarab Occult Terminators,SKU: 43-36,Thousand Sons,Yes
Sekhetar Robots,Thousand Sons Sekhetar Robots,SKU: P-TS-SEKHETAR-2025,Thousand Sons,Yes
Tzaangors,Thousand Sons Tzaangors,SKU: P-TZAANGORS-40K,Thousand Sons,Yes
Tzaangor Enlightened,Tzaangor Enlightened,SKU: P-TZAANGOR-ENL,Thousand Sons,Yes
Tzaangor Enlightened with Fatecaster greatbows,Tzaangor Enlightened,SKU: P-TZAANGOR-ENL,Thousand Sons,Yes
Tzaangor Shaman,Tzaangor Shaman,SKU: P-TZAANGOR-SHAMAN,Thousand Sons,Yes
Sorcerer,Chaos Space Marines Sorcerer,SKU: 99070102015,Thousand Sons,Yes
Sorcerer in Terminator Armour,Chaos Sorcerer Lord in Terminator Armour,SKU: P-CSM-SORC-TERM,Thousand Sons,Yes
