card_name,db_name,gw_sku,faction,include
Carnifexes,Tyranid Carnifex,SKU: 51-06,Tyranids,Yes
Hive Tyrant,Tyranid Hive Tyrant,SKU: 51-04,Tyranids,Yes
Termagants,Tyranid Termagants,SKU: 51-16,Tyranids,Yes
Tyranid Warriors with Melee Bio-Weapons,Tyranid Warriors,SKU: 51-08,Tyranids,Yes
Tyranid Warriors with Ranged Bio-Weapons,Tyranid Warriors,SKU: 51-08,Tyranids,Yes
Barbgaunts,,,Tyranids,
Biovores,,,Tyranids,
Broodlord,,,Tyranids,
Deathleaper,,,Tyranids,
Exocrine,,,Tyranids,
Gargoyles,,,Tyranids,
Genestealers,,,Tyranids,
Harpy,,,Tyranids,
Harridan,,,Tyranids,
Haruspex,,,Tyranids,
Hierophant,,,Tyranids,
Hive Crone,,,Tyranids,
Hive Guard,,,Tyranids,
Hormagaunts,,,Tyranids,
Hyperadapted Raveners,,,Tyranids,
Lictor,,,Tyranids,
Maleceptor,,,Tyranids,
Mawloc,,,Tyranids,
Mucolid Spores,,,Tyranids,
Neurogaunts,,,Tyranids,
Neurolictor,,,Tyranids,
Neurotyrant,,,Tyranids,
Norn Assimilator,,,Tyranids,
Norn Emissary,,,Tyranids,
Old One Eye,,,Tyranids,
Parasite of Mortrex,,,Tyranids,
Psychophage,,,Tyranids,
Pyrovores,,,Tyranids,
Raveners,,,Tyranids,
Ripper Swarms,,,Tyranids,
Screamer-killer,,,Tyranids,
Spore Mines,,,Tyranids,
Sporocyst,,,Tyranids,
Tervigon,,,Tyranids,
The Swarmlord,,,Tyranids,
Toxicrene,,,Tyranids,
Trygon,,,Tyranids,
Tyrannocyte,,,Tyranids,
Tyrannofex,,,Tyranids,
Tyrant Guard,,,Tyranids,
Venomthropes,,,Tyranids,
Von Ryan's Leapers,,,Tyranids,
Winged Hive Tyrant,,,Tyranids,
Winged Tyranid Prime,,,Tyranids,
Zoanthropes,,,Tyranids,
