card_name,db_name,gw_sku,faction,include
Berehk Stornbrow,Berehk Stornbrow,P-222999-99120118025,Leagues of Votann,Yes
Buri Aegnirssen,Buri Aegnirssen,P-223003-99120118019,Leagues of Votann,Yes
Uthar the Destined,Uthar the Destined,prod5000445-99120118011,Leagues of Votann,Yes
Arkanyst Evaluator,Arkanyst Evaluator,P-222999-99120118025,Leagues of Votann,Yes
Brokhyr Iron-master,Brokhyr Iron-master,prod5000444-99120118010,Leagues of Votann,Yes
Einhyr Champion,Leagues of Votann Einhyr Champion,73-06,Leagues of Votann,Yes
Grimnyr,Grimnyr,prod5000438-99120118004,Leagues of Votann,Yes
Kahl,Kahl,prod5000456-99120118011,Leagues of Votann,Yes
Memnyr Strategist,Memnyr Strategist,P-222997-99120118026,Leagues of Votann,Yes
Hearthkyn Warriors,Leagues of Votann Hearthkyn Warriors,73-10,Leagues of Votann,Yes
Brokhyr Thunderkyn,Brokhyr Thunderkyn,prod5000439-99120118005,Leagues of Votann,Yes
Cthonian Berserks,Cthonian Berserks,prod5000436-99120118002,Leagues of Votann,Yes
Cthonian Earthshakers,Cthonian Earthshakers,P-223004-99120118021,Leagues of Votann,Yes
Einhyr Hearthguard,Leagues of Votann Einhyr Hearthguard,73-14,Leagues of Votann,Yes
Ironkin Steeljacks,Ironkin Steeljacks,P-223001-99120118020,Leagues of Votann,Yes
Hernkyn Pioneers,Leagues of Votann Hernkyn Pioneers,73-12,Leagues of Votann,Yes
Hekaton Land Fortress,Hekaton Land Fortress,prod5000440-99120118006,Leagues of Votann,Yes
Kapricus Defender/Carrier,Kapricus Defender/Carrier,P-223006-99120118022,Leagues of Votann,Yes
Sagitaur,Sagitaur,prod5000437-99120118003,Leagues of Votann,Yes
Kill Team: Hernkyn Yaegirs,Kill Team: Hernkyn Yaegirs (Leagues of Votann),P-189754-99120118018,Leagues of Votann,
Kill Team: Hearthkyn Salvagers,Kill Team: Hearthkyn Salvagers (Leagues of Votann),P-198770-99120118023,Leagues of Votann,
Leagues of Votann Combat Patrol,Leagues of Votann Combat Patrol,73-25,Leagues of Votann,
Codex: Leagues of Votann,Codex: Leagues of Votann,P-223015-60030118002,Leagues of Votann,
