card_name,db_name,gw_sku,faction,include
Angron,World Eaters Angron,SKU: 43-04,Worldeaters,Yes
Bloodcrushers,Bloodcrushers of Khorne,SKU: P-KHORNE-BLOODCRUSHERS,Worldeaters,Yes
Bloodletters,Bloodletters of Khorne,SKU: P-KHORNE-BLOODLETTERS-40K,Worldeaters,Yes
Bloodthirster,Bloodthirster,SKU: P-KHORNE-BLOODTHIRSTER,Worldeaters,Yes
Chaos Land Raider,Chaos Land Raider,SKU: 99120102052,Worldeaters,Yes
Chaos Predator Annihilator,Chaos Predator,SKU: 43-09,Worldeaters,Yes
Chaos Predator Destructor,Chaos Predator,SKU: 43-09,Worldeaters,Yes
Chaos Rhino,Chaos Rhino,SKU: 99120102092,Worldeaters,Yes
Chaos Spawn,Chaos Spawn,SKU: 99120201050,Worldeaters,Yes
Chaos Terminators,Chaos Space Marines Legionaries,SKU: 43-06,Worldeaters,Yes
Daemon Prince of Khorne,Daemon Prince,SKU: 99120201130,Worldeaters,Yes
Daemon Prince of Khorne with wings,Daemon Prince,SKU: 99120201130,Worldeaters,Yes
Defiler,Chaos Defiler,SKU: P-CSM-DEFILER-2026,Worldeaters,Yes
Eightbound,World Eaters Eightbound,SKU: 43-62,Worldeaters,Yes
Exalted Eightbound,World Eaters Exalted Eightbound,SKU: P-WE-EXL-EIGHT-2023,Worldeaters,Yes
Flesh Hounds,Flesh Hounds of Khorne,SKU: P-KHORNE-FLESHHOUNDS,Worldeaters,Yes
Forgefiend,Forgefiend,SKU: 99120102089,Worldeaters,Yes
Goremongers,Kill Team: Goremongers (World Eaters),SKU: P-WE-KT-GOREMONGERS-2025,Worldeaters,Yes
Helbrute,Chaos Helbrute,SKU: prod2430129-99120102043,Worldeaters,Yes
Heldrake,Heldrake,SKU: 99120102090,Worldeaters,Yes
Jakhals,World Eaters Jakhals,SKU: P-WE-JAKHALS-2023,Worldeaters,Yes
Khârn the Betrayer,World Eaters Kharn the Betrayer,SKU: P-WE-KHARN-2023,Worldeaters,Yes
Khorne Berzerkers,World Eaters Berzerkers,SKU: 43-60,Worldeaters,Yes
Khorne Lord of Skulls,Khorne Lord of Skulls,SKU: P-WE-LORD-SKULLS,Worldeaters,Yes
Lord Invocatus,World Eaters Lord Invocatus,SKU: P-WE-LORD-INVOC-2023,Worldeaters,Yes
Lord on Juggernaut,World Eaters Lord on Juggernaut,SKU: 43-64,Worldeaters,Yes
Master of Executions,Master of Executions,SKU: P-CSM-MASTER-EXEC,Worldeaters,Yes
Maulerfiend,Maulerfiend,SKU: 99120102089,Worldeaters,Yes
Skarbrand,Skarbrand the Bloodthirster,SKU: P-KHORNE-SKARBRAND,Worldeaters,Yes
Slaughterbound,World Eaters Slaughterbound,SKU: P-WE-SLAUGHTER-2025,Worldeaters,Yes
